x	y
30	0.702494
29.99	0.702521
29.98	0.702548
29.97	0.702575
29.96	0.702603
29.95	0.70263
29.94	0.702657
29.93	0.702684
29.92	0.702711
29.91	0.702738
29.9	0.702766
29.89	0.702793
29.88	0.70282
29.87	0.702847
29.86	0.702875
29.85	0.702902
29.84	0.702929
29.83	0.702957
29.82	0.702984
29.81	0.703011
29.8	0.703039
29.79	0.703066
29.78	0.703094
29.77	0.703121
29.76	0.703149
29.75	0.703176
29.74	0.703204
29.73	0.703231
29.72	0.703259
29.71	0.703286
29.7	0.703314
29.69	0.703342
29.68	0.703369
29.67	0.703397
29.66	0.703425
29.65	0.703452
29.64	0.70348
29.63	0.703508
29.62	0.703536
29.61	0.703563
29.6	0.703591
29.59	0.703619
29.58	0.703647
29.57	0.703675
29.56	0.703703
29.55	0.703731
29.54	0.703759
29.53	0.703787
29.52	0.703815
29.51	0.703843
29.5	0.703871
29.49	0.703899
29.48	0.703927
29.47	0.703955
29.46	0.703983
29.45	0.704011
29.44	0.704039
29.43	0.704067
29.42	0.704096
29.41	0.704124
29.4	0.704152
29.39	0.70418
29.38	0.704209
29.37	0.704237
29.36	0.704265
29.35	0.704294
29.34	0.704322
29.33	0.70435
29.32	0.704379
29.31	0.704407
29.3	0.704436
29.29	0.704464
29.28	0.704493
29.27	0.704521
29.26	0.70455
29.25	0.704578
29.24	0.704607
29.23	0.704635
29.22	0.704664
29.21	0.704693
29.2	0.704721
29.19	0.70475
29.18	0.704779
29.17	0.704807
29.16	0.704836
29.15	0.704865
29.14	0.704894
29.13	0.704923
29.12	0.704951
29.11	0.70498
29.1	0.705009
29.09	0.705038
29.08	0.705067
29.07	0.705096
29.06	0.705125
29.05	0.705154
29.04	0.705183
29.03	0.705212
29.02	0.705241
29.01	0.70527
29	0.705299
28.99	0.705328
28.98	0.705358
28.97	0.705387
28.96	0.705416
28.95	0.705445
28.94	0.705474
28.93	0.705504
28.92	0.705533
28.91	0.705562
28.9	0.705592
28.89	0.705621
28.88	0.70565
28.87	0.70568
28.86	0.705709
28.85	0.705739
28.84	0.705768
28.83	0.705797
28.82	0.705827
28.81	0.705857
28.8	0.705886
28.79	0.705916
28.78	0.705945
28.77	0.705975
28.76	0.706005
28.75	0.706034
28.74	0.706064
28.73	0.706094
28.72	0.706123
28.71	0.706153
28.7	0.706183
28.69	0.706213
28.68	0.706243
28.67	0.706272
28.66	0.706302
28.65	0.706332
28.64	0.706362
28.63	0.706392
28.62	0.706422
28.61	0.706452
28.6	0.706482
28.59	0.706512
28.58	0.706542
28.57	0.706572
28.56	0.706602
28.55	0.706632
28.54	0.706663
28.53	0.706693
28.52	0.706723
28.51	0.706753
28.5	0.706783
28.49	0.706814
28.48	0.706844
28.47	0.706874
28.46	0.706905
28.45	0.706935
28.44	0.706965
28.43	0.706996
28.42	0.707026
28.41	0.707057
28.4	0.707087
28.39	0.707118
28.38	0.707148
28.37	0.707179
28.36	0.707209
28.35	0.70724
28.34	0.707271
28.33	0.707301
28.32	0.707332
28.31	0.707363
28.3	0.707393
28.29	0.707424
28.28	0.707455
28.27	0.707486
28.26	0.707516
28.25	0.707547
28.24	0.707578
28.23	0.707609
28.22	0.70764
28.21	0.707671
28.2	0.707702
28.19	0.707733
28.18	0.707764
28.17	0.707795
28.16	0.707826
28.15	0.707857
28.14	0.707888
28.13	0.707919
28.12	0.70795
28.11	0.707982
28.1	0.708013
28.09	0.708044
28.08	0.708075
28.07	0.708107
28.06	0.708138
28.05	0.708169
28.04	0.708201
28.03	0.708232
28.02	0.708263
28.01	0.708295
28	0.708326
27.99	0.708358
27.98	0.708389
27.97	0.708421
27.96	0.708452
27.95	0.708484
27.94	0.708516
27.93	0.708547
27.92	0.708579
27.91	0.708611
27.9	0.708642
27.89	0.708674
27.88	0.708706
27.87	0.708737
27.86	0.708769
27.85	0.708801
27.84	0.708833
27.83	0.708865
27.82	0.708897
27.81	0.708929
27.8	0.708961
27.79	0.708993
27.78	0.709025
27.77	0.709057
