x	y
30	0.607907
29.99	0.607928
29.98	0.607949
29.97	0.60797
29.96	0.607991
29.95	0.608012
29.94	0.608033
29.93	0.608054
29.92	0.608075
29.91	0.608096
29.9	0.608117
29.89	0.608138
29.88	0.608159
29.87	0.60818
29.86	0.608202
29.85	0.608223
29.84	0.608244
29.83	0.608265
29.82	0.608286
29.81	0.608308
29.8	0.608329
29.79	0.60835
29.78	0.608371
29.77	0.608393
29.76	0.608414
29.75	0.608435
29.74	0.608457
29.73	0.608478
29.72	0.6085
29.71	0.608521
29.7	0.608542
29.69	0.608564
29.68	0.608585
29.67	0.608607
29.66	0.608628
29.65	0.60865
29.64	0.608671
29.63	0.608693
29.62	0.608714
29.61	0.608736
29.6	0.608757
29.59	0.608779
29.58	0.608801
29.57	0.608822
29.56	0.608844
29.55	0.608865
29.54	0.608887
29.53	0.608909
29.52	0.608931
29.51	0.608952
29.5	0.608974
29.49	0.608996
29.48	0.609018
29.47	0.609039
29.46	0.609061
29.45	0.609083
29.44	0.609105
29.43	0.609127
29.42	0.609149
29.41	0.60917
29.4	0.609192
29.39	0.609214
29.38	0.609236
29.37	0.609258
29.36	0.60928
29.35	0.609302
29.34	0.609324
29.33	0.609346
29.32	0.609368
29.31	0.60939
29.3	0.609412
29.29	0.609434
29.28	0.609456
29.27	0.609478
29.26	0.609501
29.25	0.609523
29.24	0.609545
29.23	0.609567
29.22	0.609589
29.21	0.609611
29.2	0.609634
29.19	0.609656
29.18	0.609678
29.17	0.6097
29.16	0.609723
29.15	0.609745
29.14	0.609767
29.13	0.60979
29.12	0.609812
29.11	0.609834
29.1	0.609857
29.09	0.609879
29.08	0.609902
29.07	0.609924
29.06	0.609947
29.05	0.609969
29.04	0.609992
29.03	0.610014
29.02	0.610037
29.01	0.610059
29	0.610082
28.99	0.610104
28.98	0.610127
28.97	0.61015
28.96	0.610172
28.95	0.610195
28.94	0.610218
28.93	0.61024
28.92	0.610263
28.91	0.610286
28.9	0.610308
28.89	0.610331
28.88	0.610354
28.87	0.610377
28.86	0.610399
28.85	0.610422
28.84	0.610445
28.83	0.610468
28.82	0.610491
28.81	0.610514
28.8	0.610537
28.79	0.61056
28.78	0.610582
28.77	0.610605
28.76	0.610628
28.75	0.610651
28.74	0.610674
28.73	0.610697
28.72	0.610721
28.71	0.610744
28.7	0.610767
28.69	0.61079
28.68	0.610813
28.67	0.610836
28.66	0.610859
28.65	0.610882
28.64	0.610906
28.63	0.610929
28.62	0.610952
28.61	0.610975
28.6	0.610999
28.59	0.611022
28.58	0.611045
28.57	0.611068
28.56	0.611092
28.55	0.611115
28.54	0.611138
28.53	0.611162
28.52	0.611185
28.51	0.611209
28.5	0.611232
28.49	0.611256
28.48	0.611279
28.47	0.611302
28.46	0.611326
28.45	0.61135
28.44	0.611373
28.43	0.611397
28.42	0.61142
28.41	0.611444
28.4	0.611467
28.39	0.611491
28.38	0.611515
28.37	0.611538
28.36	0.611562
28.35	0.611586
28.34	0.61161
28.33	0.611633
28.32	0.611657
28.31	0.611681
28.3	0.611705
28.29	0.611729
28.28	0.611752
28.27	0.611776
28.26	0.6118
28.25	0.611824
28.24	0.611848
28.23	0.611872
28.22	0.611896
28.21	0.61192
28.2	0.611944
28.19	0.611968
28.18	0.611992
28.17	0.612016
28.16	0.61204
28.15	0.612064
28.14	0.612088
28.13	0.612112
28.12	0.612136
28.11	0.612161
28.1	0.612185
28.09	0.612209
28.08	0.612233
28.07	0.612257
28.06	0.612282
28.05	0.612306
28.04	0.61233
28.03	0.612355
28.02	0.612379
28.01	0.612403
28	0.612428
27.99	0.612452
27.98	0.612476
27.97	0.612501
27.96	0.612525
27.95	0.61255
27.94	0.612574
27.93	0.612599
27.92	0.612623
27.91	0.612648
27.9	0.612672
27.89	0.612697
27.88	0.612722
27.87	0.612746
27.86	0.612771
27.85	0.612795
27.84	0.61282
27.83	0.612845
27.82	0.61287
27.81	0.612894
27.8	0.612919
27.79	0.612944
27.78	0.612969
27.77	0.612993
27.76	0.613018
27.75	0.613043
27.74	0.613068
27.73	0.613093
27.72	0.613118
27.71	0.613143
27.7	0.613168
27.69	0.613193
27.68	0.613218
27.67	0.613243
27.66	0.613268
27.65	0.613293
27.64	0.613318
27.63	0.613343
27.62	0.613368
27.61	0.613393
27.6	0.613418
27.59	0.613443
27.58	0.613469
27.57	0.613494
27.56	0.613519
27.55	0.613544
27.54	0.61357
27.53	0.613595
27.52	0.61362
27.51	0.613646
27.5	0.613671
27.49	0.613696
27.48	0.613722
27.47	0.613747
27.46	0.613773
27.45	0.613798
27.44	0.613823
27.43	0.613849
27.42	0.613874
27.41	0.6139
27.4	0.613926
27.39	0.613951
27.38	0.613977
27.37	0.614002
27.36	0.614028
27.35	0.614054
27.34	0.614079
27.33	0.614105
27.32	0.614131
27.31	0.614156
27.3	0.614182
27.29	0.614208
27.28	0.614234
27.27	0.61426
27.26	0.614286
27.25	0.614311
27.24	0.614337
27.23	0.614363
27.22	0.614389
27.21	0.614415
27.2	0.614441
27.19	0.614467
27.18	0.614493
