x	y
30	0.817375
29.99	0.81741
29.98	0.817445
29.97	0.81748
29.96	0.817516
29.95	0.817551
29.94	0.817586
29.93	0.817621
29.92	0.817657
29.91	0.817692
29.9	0.817727
29.89	0.817763
29.88	0.817798
29.87	0.817833
29.86	0.817869
29.85	0.817904
29.84	0.81794
29.83	0.817975
29.82	0.818011
29.81	0.818046
29.8	0.818082
29.79	0.818118
29.78	0.818153
29.77	0.818189
29.76	0.818225
29.75	0.81826
29.74	0.818296
29.73	0.818332
29.72	0.818368
29.71	0.818404
29.7	0.818439
29.69	0.818475
29.68	0.818511
29.67	0.818547
29.66	0.818583
29.65	0.818619
29.64	0.818655
29.63	0.818691
29.62	0.818727
29.61	0.818763
29.6	0.8188
29.59	0.818836
29.58	0.818872
29.57	0.818908
29.56	0.818944
29.55	0.818981
29.54	0.819017
29.53	0.819053
29.52	0.81909
29.51	0.819126
29.5	0.819162
29.49	0.819199
29.48	0.819235
29.47	0.819272
29.46	0.819308
29.45	0.819345
29.44	0.819382
29.43	0.819418
29.42	0.819455
29.41	0.819491
29.4	0.819528
29.39	0.819565
29.38	0.819602
29.37	0.819638
29.36	0.819675
29.35	0.819712
29.34	0.819749
29.33	0.819786
29.32	0.819823
29.31	0.81986
29.3	0.819896
29.29	0.819933
29.28	0.81997
29.27	0.820008
29.26	0.820045
29.25	0.820082
29.24	0.820119
29.23	0.820156
29.22	0.820193
29.21	0.82023
29.2	0.820268
29.19	0.820305
29.18	0.820342
29.17	0.82038
29.16	0.820417
29.15	0.820454
29.14	0.820492
29.13	0.820529
29.12	0.820567
29.11	0.820604
29.1	0.820642
29.09	0.820679
29.08	0.820717
29.07	0.820754
29.06	0.820792
29.05	0.82083
29.04	0.820868
29.03	0.820905
29.02	0.820943
29.01	0.820981
29	0.821019
28.99	0.821056
28.98	0.821094
28.97	0.821132
28.96	0.82117
28.95	0.821208
28.94	0.821246
28.93	0.821284
28.92	0.821322
28.91	0.82136
28.9	0.821398
28.89	0.821437
28.88	0.821475
28.87	0.821513
28.86	0.821551
28.85	0.821589
28.84	0.821628
28.83	0.821666
28.82	0.821704
28.81	0.821743
28.8	0.821781
28.79	0.82182
28.78	0.821858
28.77	0.821897
28.76	0.821935
28.75	0.821974
28.74	0.822012
28.73	0.822051
28.72	0.82209
28.71	0.822128
28.7	0.822167
28.69	0.822206
28.68	0.822244
28.67	0.822283
