x	y
30	0.995456
29.99	0.995505
29.98	0.995554
29.97	0.995603
29.96	0.995652
29.95	0.995701
29.94	0.99575
29.93	0.995799
29.92	0.995849
29.91	0.995898
29.9	0.995947
29.89	0.995996
29.88	0.996046
29.87	0.996095
29.86	0.996145
29.85	0.996194
29.84	0.996244
29.83	0.996293
29.82	0.996343
29.81	0.996392
29.8	0.996442
29.79	0.996492
29.78	0.996542
29.77	0.996591
29.76	0.996641
29.75	0.996691
29.74	0.996741
29.73	0.996791
29.72	0.996841
29.71	0.996891
29.7	0.996941
29.69	0.996991
29.68	0.997041
29.67	0.997091
29.66	0.997142
29.65	0.997192
29.64	0.997242
29.63	0.997292
29.62	0.997343
29.61	0.997393
29.6	0.997443
29.59	0.997494
29.58	0.997545
29.57	0.997595
29.56	0.997646
29.55	0.997696
29.54	0.997747
29.53	0.997798
29.52	0.997848
29.51	0.997899
29.5	0.99795
29.49	0.998001
29.48	0.998052
29.47	0.998103
29.46	0.998154
29.45	0.998205
29.44	0.998256
29.43	0.998307
29.42	0.998358
29.41	0.998409
29.4	0.99846
29.39	0.998511
29.38	0.998563
29.37	0.998614
29.36	0.998665
29.35	0.998717
29.34	0.998768
29.33	0.99882
29.32	0.998871
29.31	0.998923
29.3	0.998974
29.29	0.999026
29.28	0.999078
29.27	0.999129
29.26	0.999181
29.25	0.999233
29.24	0.999285
29.23	0.999337
29.22	0.999389
29.21	0.999441
29.2	0.999493
29.19	0.999545
29.18	0.999597
29.17	0.999649
29.16	0.999701
29.15	0.999753
29.14	0.999805
29.13	0.999858
29.12	0.99991
29.11	0.999962
29.1	1.00001
29.09	1.00007
29.08	1.00012
29.07	1.00017
29.06	1.00022
29.05	1.00028
29.04	1.00033
29.03	1.00038
29.02	1.00044
29.01	1.00049
29	1.00054
28.99	1.00059
28.98	1.00065
28.97	1.0007
28.96	1.00075
28.95	1.00081
28.94	1.00086
28.93	1.00091
28.92	1.00096
28.91	1.00102
28.9	1.00107
28.89	1.00112
28.88	1.00118
28.87	1.00123
28.86	1.00128
28.85	1.00134
28.84	1.00139
28.83	1.00145
28.82	1.0015
28.81	1.00155
28.8	1.00161
28.79	1.00166
28.78	1.00171
28.77	1.00177
28.76	1.00182
28.75	1.00187
28.74	1.00193
28.73	1.00198
28.72	1.00204
28.71	1.00209
28.7	1.00214
28.69	1.0022
28.68	1.00225
28.67	1.00231
28.66	1.00236
28.65	1.00242
28.64	1.00247
28.63	1.00252
28.62	1.00258
28.61	1.00263
28.6	1.00269
28.59	1.00274
28.58	1.0028
28.57	1.00285
28.56	1.00291
28.55	1.00296
28.54	1.00302
28.53	1.00307
28.52	1.00313
28.51	1.00318
28.5	1.00323
28.49	1.00329
28.48	1.00334
28.47	1.0034
28.46	1.00346
28.45	1.00351
28.44	1.00357
28.43	1.00362
28.42	1.00368
28.41	1.00373
28.4	1.00379
28.39	1.00384
28.38	1.0039
28.37	1.00395
28.36	1.00401
28.35	1.00406
28.34	1.00412
28.33	1.00418
28.32	1.00423
28.31	1.00429
28.3	1.00434
28.29	1.0044
28.28	1.00445
28.27	1.00451
28.26	1.00457
28.25	1.00462
28.24	1.00468
28.23	1.00473
28.22	1.00479
28.21	1.00485
28.2	1.0049
28.19	1.00496
28.18	1.00502
28.17	1.00507
28.16	1.00513
28.15	1.00519
28.14	1.00524
28.13	1.0053
28.12	1.00535
28.11	1.00541
28.1	1.00547
28.09	1.00552
28.08	1.00558
28.07	1.00564
28.06	1.0057
28.05	1.00575
28.04	1.00581
28.03	1.00587
28.02	1.00592
28.01	1.00598
28	1.00604
27.99	1.0061
27.98	1.00615
27.97	1.00621
27.96	1.00627
27.95	1.00632
27.94	1.00638
27.93	1.00644
27.92	1.0065
27.91	1.00655
27.9	1.00661
27.89	1.00667
27.88	1.00673
27.87	1.00679
27.86	1.00684
27.85	1.0069
27.84	1.00696
27.83	1.00702
27.82	1.00707
27.81	1.00713
27.8	1.00719
27.79	1.00725
27.78	1.00731
27.77	1.00737
27.76	1.00742
27.75	1.00748
27.74	1.00754
27.73	1.0076
27.72	1.00766
27.71	1.00772
27.7	1.00777
27.69	1.00783
27.68	1.00789
27.67	1.00795
27.66	1.00801
27.65	1.00807
27.64	1.00813
27.63	1.00819
27.62	1.00825
27.61	1.0083
27.6	1.00836
