x	y
30	0.890222
29.99	0.890262
29.98	0.890303
29.97	0.890343
29.96	0.890384
29.95	0.890425
29.94	0.890466
29.93	0.890506
29.92	0.890547
29.91	0.890588
29.9	0.890629
29.89	0.89067
29.88	0.890711
29.87	0.890752
29.86	0.890793
29.85	0.890834
29.84	0.890875
29.83	0.890916
29.82	0.890957
29.81	0.890998
29.8	0.891039
29.79	0.89108
29.78	0.891122
29.77	0.891163
29.76	0.891204
29.75	0.891245
29.74	0.891287
29.73	0.891328
29.72	0.89137
29.71	0.891411
29.7	0.891452
29.69	0.891494
29.68	0.891536
29.67	0.891577
29.66	0.891619
29.65	0.89166
29.64	0.891702
29.63	0.891744
29.62	0.891785
29.61	0.891827
29.6	0.891869
29.59	0.891911
29.58	0.891953
29.57	0.891994
29.56	0.892036
29.55	0.892078
29.54	0.89212
29.53	0.892162
29.52	0.892204
29.51	0.892246
29.5	0.892289
29.49	0.892331
29.48	0.892373
29.47	0.892415
29.46	0.892457
29.45	0.8925
29.44	0.892542
29.43	0.892584
29.42	0.892627
29.41	0.892669
29.4	0.892711
29.39	0.892754
29.38	0.892796
29.37	0.892839
29.36	0.892881
29.35	0.892924
29.34	0.892967
29.33	0.893009
29.32	0.893052
29.31	0.893095
29.3	0.893137
29.29	0.89318
29.28	0.893223
29.27	0.893266
29.26	0.893309
29.25	0.893352
29.24	0.893395
29.23	0.893438
29.22	0.893481
29.21	0.893524
29.2	0.893567
29.19	0.89361
29.18	0.893653
29.17	0.893696
29.16	0.893739
29.15	0.893783
29.14	0.893826
29.13	0.893869
29.12	0.893912
29.11	0.893956
29.1	0.893999
29.09	0.894043
29.08	0.894086
29.07	0.89413
29.06	0.894173
29.05	0.894217
29.04	0.89426
29.03	0.894304
29.02	0.894348
29.01	0.894392
29	0.894435
28.99	0.894479
28.98	0.894523
28.97	0.894567
28.96	0.894611
28.95	0.894655
28.94	0.894698
28.93	0.894742
28.92	0.894786
28.91	0.894831
28.9	0.894875
28.89	0.894919
28.88	0.894963
28.87	0.895007
28.86	0.895051
28.85	0.895096
28.84	0.89514
28.83	0.895184
28.82	0.895229
28.81	0.895273
28.8	0.895317
28.79	0.895362
28.78	0.895406
28.77	0.895451
28.76	0.895495
28.75	0.89554
28.74	0.895585
28.73	0.895629
28.72	0.895674
28.71	0.895719
28.7	0.895764
28.69	0.895808
