x	y
30	0.906474
29.99	0.906515
29.98	0.906557
29.97	0.906599
29.96	0.906641
29.95	0.906683
29.94	0.906725
29.93	0.906767
29.92	0.906809
29.91	0.906851
29.9	0.906893
29.89	0.906936
29.88	0.906978
29.87	0.90702
29.86	0.907062
29.85	0.907105
29.84	0.907147
29.83	0.907189
29.82	0.907232
29.81	0.907274
29.8	0.907317
29.79	0.907359
29.78	0.907402
29.77	0.907444
29.76	0.907487
29.75	0.907529
29.74	0.907572
29.73	0.907614
29.72	0.907657
29.71	0.9077
29.7	0.907743
29.69	0.907785
29.68	0.907828
29.67	0.907871
29.66	0.907914
29.65	0.907957
29.64	0.908
29.63	0.908043
29.62	0.908086
29.61	0.908129
29.6	0.908172
29.59	0.908215
29.58	0.908258
29.57	0.908302
29.56	0.908345
29.55	0.908388
29.54	0.908431
29.53	0.908475
29.52	0.908518
29.51	0.908561
29.5	0.908605
29.49	0.908648
29.48	0.908692
29.47	0.908735
29.46	0.908779
29.45	0.908822
29.44	0.908866
29.43	0.90891
29.42	0.908953
29.41	0.908997
29.4	0.909041
29.39	0.909084
29.38	0.909128
29.37	0.909172
29.36	0.909216
29.35	0.90926
29.34	0.909304
29.33	0.909348
29.32	0.909392
29.31	0.909436
29.3	0.90948
29.29	0.909524
29.28	0.909568
29.27	0.909612
29.26	0.909657
29.25	0.909701
29.24	0.909745
29.23	0.90979
29.22	0.909834
29.21	0.909878
29.2	0.909923
29.19	0.909967
29.18	0.910012
29.17	0.910056
29.16	0.910101
29.15	0.910145
29.14	0.91019
29.13	0.910235
29.12	0.910279
29.11	0.910324
29.1	0.910369
29.09	0.910414
29.08	0.910458
29.07	0.910503
29.06	0.910548
29.05	0.910593
29.04	0.910638
29.03	0.910683
29.02	0.910728
29.01	0.910773
29	0.910818
28.99	0.910863
28.98	0.910909
28.97	0.910954
28.96	0.910999
28.95	0.911044
28.94	0.91109
28.93	0.911135
28.92	0.91118
28.91	0.911226
28.9	0.911271
28.89	0.911317
28.88	0.911362
28.87	0.911408
28.86	0.911453
28.85	0.911499
28.84	0.911545
28.83	0.91159
28.82	0.911636
28.81	0.911682
28.8	0.911728
28.79	0.911774
28.78	0.911819
28.77	0.911865
28.76	0.911911
28.75	0.911957
28.74	0.912003
28.73	0.912049
28.72	0.912096
28.71	0.912142
28.7	0.912188
28.69	0.912234
28.68	0.91228
28.67	0.912327
28.66	0.912373
28.65	0.912419
28.64	0.912466
28.63	0.912512
28.62	0.912559
28.61	0.912605
28.6	0.912652
28.59	0.912698
28.58	0.912745
28.57	0.912791
28.56	0.912838
28.55	0.912885
28.54	0.912932
28.53	0.912978
28.52	0.913025
28.51	0.913072
28.5	0.913119
28.49	0.913166
28.48	0.913213
28.47	0.91326
28.46	0.913307
28.45	0.913354
28.44	0.913401
28.43	0.913448
28.42	0.913496
28.41	0.913543
28.4	0.91359
28.39	0.913637
28.38	0.913685
28.37	0.913732
28.36	0.913779
28.35	0.913827
28.34	0.913874
28.33	0.913922
28.32	0.91397
28.31	0.914017
28.3	0.914065
28.29	0.914113
28.28	0.91416
28.27	0.914208
28.26	0.914256
28.25	0.914304
28.24	0.914352
28.23	0.914399
28.22	0.914447
28.21	0.914495
28.2	0.914543
28.19	0.914592
28.18	0.91464
28.17	0.914688
28.16	0.914736
28.15	0.914784
28.14	0.914832
28.13	0.914881
28.12	0.914929
28.11	0.914977
28.1	0.915026
28.09	0.915074
28.08	0.915123
28.07	0.915171
28.06	0.91522
28.05	0.915269
28.04	0.915317
28.03	0.915366
28.02	0.915415
28.01	0.915463
28	0.915512
27.99	0.915561
27.98	0.91561
27.97	0.915659
27.96	0.915708
27.95	0.915757
27.94	0.915806
27.93	0.915855
27.92	0.915904
27.91	0.915953
27.9	0.916002
27.89	0.916052
27.88	0.916101
27.87	0.91615
27.86	0.9162
27.85	0.916249
27.84	0.916299
27.83	0.916348
27.82	0.916398
27.81	0.916447
27.8	0.916497
27.79	0.916546
27.78	0.916596
27.77	0.916646
27.76	0.916695
27.75	0.916745
27.74	0.916795
27.73	0.916845
27.72	0.916895
27.71	0.916945
27.7	0.916995
27.69	0.917045
27.68	0.917095
27.67	0.917145
27.66	0.917195
27.65	0.917246
27.64	0.917296
27.63	0.917346
27.62	0.917396
27.61	0.917447
27.6	0.917497
27.59	0.917548
27.58	0.917598
27.57	0.917649
27.56	0.917699
27.55	0.91775
27.54	0.917801
27.53	0.917851
27.52	0.917902
27.51	0.917953
27.5	0.918004
27.49	0.918055
27.48	0.918105
27.47	0.918156
27.46	0.918207
27.45	0.918258
27.44	0.91831
27.43	0.918361
27.42	0.918412
27.41	0.918463
27.4	0.918514
27.39	0.918566
27.38	0.918617
27.37	0.918668
27.36	0.91872
27.35	0.918771
27.34	0.918823
27.33	0.918874
27.32	0.918926
27.31	0.918977
27.3	0.919029
27.29	0.919081
27.28	0.919133
27.27	0.919184
27.26	0.919236
27.25	0.919288
27.24	0.91934
27.23	0.919392
27.22	0.919444
27.21	0.919496
27.2	0.919548
27.19	0.9196
27.18	0.919653
27.17	0.919705
27.16	0.919757
27.15	0.919809
27.14	0.919862
27.13	0.919914
27.12	0.919967
27.11	0.920019
27.1	0.920072
27.09	0.920124
27.08	0.920177
27.07	0.92023
27.06	0.920282
27.05	0.920335
27.04	0.920388
27.03	0.920441
27.02	0.920494
27.01	0.920547
27	0.9206
26.99	0.920653
26.98	0.920706
26.97	0.920759
26.96	0.920812
26.95	0.920865
26.94	0.920918
26.93	0.920972
26.92	0.921025
26.91	0.921078
26.9	0.921132
26.89	0.921185
26.88	0.921239
26.87	0.921292
26.86	0.921346
26.85	0.9214
26.84	0.921453
26.83	0.921507
26.82	0.921561
26.81	0.921615
26.8	0.921669
26.79	0.921722
26.78	0.921776
26.77	0.92183
26.76	0.921885
26.75	0.921939
26.74	0.921993
26.73	0.922047
26.72	0.922101
26.71	0.922156
26.7	0.92221
26.69	0.922264
26.68	0.922319
26.67	0.922373
26.66	0.922428
26.65	0.922482
26.64	0.922537
26.63	0.922592
26.62	0.922646
26.61	0.922701
26.6	0.922756
26.59	0.922811
26.58	0.922866
26.57	0.922921
26.56	0.922975
26.55	0.923031
26.54	0.923086
26.53	0.923141
26.52	0.923196
26.51	0.923251
26.5	0.923306
26.49	0.923362
26.48	0.923417
26.47	0.923473
26.46	0.923528
26.45	0.923584
26.44	0.923639
