x	y
30	0.567609
29.99	0.567627
29.98	0.567646
29.97	0.567665
29.96	0.567683
29.95	0.567702
29.94	0.56772
29.93	0.567739
29.92	0.567758
29.91	0.567776
29.9	0.567795
29.89	0.567814
29.88	0.567832
29.87	0.567851
29.86	0.56787
29.85	0.567889
29.84	0.567907
29.83	0.567926
29.82	0.567945
29.81	0.567964
29.8	0.567983
29.79	0.568001
29.78	0.56802
29.77	0.568039
29.76	0.568058
29.75	0.568077
29.74	0.568096
29.73	0.568115
29.72	0.568134
29.71	0.568152
29.7	0.568171
29.69	0.56819
29.68	0.568209
29.67	0.568228
29.66	0.568247
29.65	0.568266
29.64	0.568285
29.63	0.568305
29.62	0.568324
29.61	0.568343
29.6	0.568362
29.59	0.568381
29.58	0.5684
29.57	0.568419
29.56	0.568438
29.55	0.568457
29.54	0.568477
29.53	0.568496
29.52	0.568515
29.51	0.568534
29.5	0.568554
29.49	0.568573
29.48	0.568592
29.47	0.568611
29.46	0.568631
29.45	0.56865
29.44	0.568669
29.43	0.568689
29.42	0.568708
29.41	0.568727
29.4	0.568747
29.39	0.568766
29.38	0.568785
29.37	0.568805
29.36	0.568824
29.35	0.568844
29.34	0.568863
29.33	0.568883
29.32	0.568902
29.31	0.568922
29.3	0.568941
29.29	0.568961
29.28	0.56898
29.27	0.569
29.26	0.569019
29.25	0.569039
29.24	0.569059
29.23	0.569078
29.22	0.569098
29.21	0.569118
29.2	0.569137
29.19	0.569157
29.18	0.569177
29.17	0.569196
29.16	0.569216
29.15	0.569236
29.14	0.569256
29.13	0.569275
29.12	0.569295
29.11	0.569315
29.1	0.569335
29.09	0.569355
29.08	0.569374
29.07	0.569394
29.06	0.569414
29.05	0.569434
29.04	0.569454
29.03	0.569474
29.02	0.569494
29.01	0.569514
29	0.569534
28.99	0.569554
28.98	0.569574
28.97	0.569594
28.96	0.569614
28.95	0.569634
28.94	0.569654
28.93	0.569674
28.92	0.569694
28.91	0.569714
28.9	0.569734
28.89	0.569754
28.88	0.569775
28.87	0.569795
28.86	0.569815
28.85	0.569835
28.84	0.569855
28.83	0.569876
28.82	0.569896
28.81	0.569916
28.8	0.569936
28.79	0.569957
28.78	0.569977
28.77	0.569997
28.76	0.570018
28.75	0.570038
28.74	0.570058
28.73	0.570079
28.72	0.570099
28.71	0.570119
28.7	0.57014
28.69	0.57016
28.68	0.570181
28.67	0.570201
28.66	0.570222
28.65	0.570242
28.64	0.570263
28.63	0.570283
28.62	0.570304
28.61	0.570324
28.6	0.570345
28.59	0.570366
28.58	0.570386
28.57	0.570407
28.56	0.570427
28.55	0.570448
28.54	0.570469
28.53	0.570489
28.52	0.57051
28.51	0.570531
28.5	0.570552
28.49	0.570572
28.48	0.570593
28.47	0.570614
28.46	0.570635
28.45	0.570656
28.44	0.570676
28.43	0.570697
28.42	0.570718
28.41	0.570739
28.4	0.57076
28.39	0.570781
28.38	0.570802
28.37	0.570823
28.36	0.570844
28.35	0.570865
28.34	0.570886
28.33	0.570907
28.32	0.570928
28.31	0.570949
28.3	0.57097
28.29	0.570991
28.28	0.571012
28.27	0.571033
28.26	0.571054
28.25	0.571075
28.24	0.571096
28.23	0.571118
28.22	0.571139
28.21	0.57116
28.2	0.571181
28.19	0.571203
28.18	0.571224
28.17	0.571245
28.16	0.571266
28.15	0.571288
28.14	0.571309
28.13	0.57133
28.12	0.571352
28.11	0.571373
28.1	0.571394
