x	y
30	0.710068
29.99	0.710096
29.98	0.710123
29.97	0.710151
29.96	0.710178
29.95	0.710206
29.94	0.710234
29.93	0.710261
29.92	0.710289
29.91	0.710317
29.9	0.710344
29.89	0.710372
29.88	0.7104
29.87	0.710428
29.86	0.710455
29.85	0.710483
29.84	0.710511
29.83	0.710539
29.82	0.710567
29.81	0.710595
29.8	0.710623
29.79	0.710651
29.78	0.710679
29.77	0.710707
29.76	0.710735
29.75	0.710763
29.74	0.710791
29.73	0.710819
29.72	0.710847
29.71	0.710875
29.7	0.710903
29.69	0.710931
29.68	0.710959
29.67	0.710988
29.66	0.711016
29.65	0.711044
29.64	0.711072
29.63	0.711101
29.62	0.711129
29.61	0.711157
29.6	0.711186
29.59	0.711214
29.58	0.711242
29.57	0.711271
29.56	0.711299
29.55	0.711328
29.54	0.711356
29.53	0.711385
29.52	0.711413
29.51	0.711442
29.5	0.71147
29.49	0.711499
29.48	0.711527
29.47	0.711556
29.46	0.711585
29.45	0.711613
29.44	0.711642
29.43	0.711671
29.42	0.711699
29.41	0.711728
29.4	0.711757
29.39	0.711786
29.38	0.711815
29.37	0.711843
29.36	0.711872
29.35	0.711901
29.34	0.71193
29.33	0.711959
29.32	0.711988
29.31	0.712017
29.3	0.712046
29.29	0.712075
29.28	0.712104
29.27	0.712133
29.26	0.712162
29.25	0.712191
29.24	0.71222
29.23	0.712249
29.22	0.712279
29.21	0.712308
29.2	0.712337
29.19	0.712366
29.18	0.712395
29.17	0.712425
29.16	0.712454
29.15	0.712483
29.14	0.712513
29.13	0.712542
29.12	0.712572
29.11	0.712601
29.1	0.71263
29.09	0.71266
29.08	0.712689
29.07	0.712719
29.06	0.712748
29.05	0.712778
29.04	0.712807
29.03	0.712837
29.02	0.712867
29.01	0.712896
29	0.712926
28.99	0.712956
28.98	0.712985
28.97	0.713015
28.96	0.713045
28.95	0.713075
28.94	0.713104
28.93	0.713134
28.92	0.713164
28.91	0.713194
28.9	0.713224
28.89	0.713254
28.88	0.713284
28.87	0.713314
28.86	0.713343
28.85	0.713373
