x	y
30	0.65872
29.99	0.658745
29.98	0.658769
29.97	0.658793
29.96	0.658817
29.95	0.658841
29.94	0.658866
29.93	0.65889
29.92	0.658914
29.91	0.658938
29.9	0.658963
29.89	0.658987
29.88	0.659011
29.87	0.659036
29.86	0.65906
29.85	0.659085
29.84	0.659109
29.83	0.659133
29.82	0.659158
29.81	0.659182
29.8	0.659207
29.79	0.659231
29.78	0.659256
29.77	0.659281
29.76	0.659305
29.75	0.65933
29.74	0.659354
29.73	0.659379
29.72	0.659404
29.71	0.659428
29.7	0.659453
29.69	0.659478
29.68	0.659502
29.67	0.659527
29.66	0.659552
29.65	0.659577
29.64	0.659601
29.63	0.659626
29.62	0.659651
29.61	0.659676
29.6	0.659701
29.59	0.659726
29.58	0.65975
29.57	0.659775
29.56	0.6598
29.55	0.659825
29.54	0.65985
29.53	0.659875
29.52	0.6599
29.51	0.659925
29.5	0.65995
29.49	0.659975
29.48	0.66
29.47	0.660026
29.46	0.660051
29.45	0.660076
29.44	0.660101
29.43	0.660126
29.42	0.660151
29.41	0.660177
29.4	0.660202
29.39	0.660227
29.38	0.660252
29.37	0.660278
29.36	0.660303
29.35	0.660328
29.34	0.660354
29.33	0.660379
29.32	0.660404
29.31	0.66043
29.3	0.660455
29.29	0.660481
29.28	0.660506
29.27	0.660531
29.26	0.660557
29.25	0.660582
29.24	0.660608
29.23	0.660634
29.22	0.660659
29.21	0.660685
29.2	0.66071
29.19	0.660736
29.18	0.660762
29.17	0.660787
29.16	0.660813
29.15	0.660839
29.14	0.660864
29.13	0.66089
29.12	0.660916
29.11	0.660942
29.1	0.660968
29.09	0.660993
29.08	0.661019
29.07	0.661045
29.06	0.661071
29.05	0.661097
29.04	0.661123
29.03	0.661149
29.02	0.661175
29.01	0.661201
29	0.661227
28.99	0.661253
28.98	0.661279
28.97	0.661305
28.96	0.661331
28.95	0.661357
28.94	0.661383
28.93	0.661409
28.92	0.661435
28.91	0.661462
28.9	0.661488
28.89	0.661514
28.88	0.66154
28.87	0.661567
28.86	0.661593
28.85	0.661619
28.84	0.661645
28.83	0.661672
28.82	0.661698
28.81	0.661725
28.8	0.661751
28.79	0.661777
28.78	0.661804
28.77	0.66183
28.76	0.661857
28.75	0.661883
28.74	0.66191
28.73	0.661936
28.72	0.661963
28.71	0.66199
28.7	0.662016
28.69	0.662043
28.68	0.662069
28.67	0.662096
28.66	0.662123
28.65	0.662149
28.64	0.662176
28.63	0.662203
28.62	0.66223
28.61	0.662256
28.6	0.662283
28.59	0.66231
28.58	0.662337
28.57	0.662364
28.56	0.662391
28.55	0.662418
28.54	0.662445
28.53	0.662472
