x	y
30	0.832938
29.99	0.832974
29.98	0.83301
29.97	0.833046
29.96	0.833083
29.95	0.833119
29.94	0.833156
29.93	0.833192
29.92	0.833228
29.91	0.833265
29.9	0.833301
29.89	0.833338
29.88	0.833374
29.87	0.833411
29.86	0.833448
29.85	0.833484
29.84	0.833521
29.83	0.833558
29.82	0.833594
29.81	0.833631
29.8	0.833668
29.79	0.833705
29.78	0.833741
29.77	0.833778
29.76	0.833815
29.75	0.833852
29.74	0.833889
29.73	0.833926
29.72	0.833963
29.71	0.834
29.7	0.834037
29.69	0.834074
29.68	0.834111
29.67	0.834148
29.66	0.834185
29.65	0.834223
29.64	0.83426
29.63	0.834297
29.62	0.834334
29.61	0.834372
29.6	0.834409
29.59	0.834446
29.58	0.834484
29.57	0.834521
29.56	0.834558
29.55	0.834596
29.54	0.834633
29.53	0.834671
29.52	0.834708
29.51	0.834746
29.5	0.834784
29.49	0.834821
29.48	0.834859
29.47	0.834897
29.46	0.834934
29.45	0.834972
29.44	0.83501
29.43	0.835048
29.42	0.835086
29.41	0.835123
29.4	0.835161
29.39	0.835199
29.38	0.835237
29.37	0.835275
29.36	0.835313
29.35	0.835351
29.34	0.835389
29.33	0.835427
29.32	0.835465
29.31	0.835504
29.3	0.835542
29.29	0.83558
29.28	0.835618
29.27	0.835656
29.26	0.835695
29.25	0.835733
29.24	0.835771
29.23	0.83581
29.22	0.835848
29.21	0.835887
29.2	0.835925
29.19	0.835964
29.18	0.836002
29.17	0.836041
29.16	0.836079
29.15	0.836118
29.14	0.836156
29.13	0.836195
29.12	0.836234
29.11	0.836273
29.1	0.836311
29.09	0.83635
29.08	0.836389
29.07	0.836428
29.06	0.836467
29.05	0.836506
29.04	0.836545
29.03	0.836584
29.02	0.836623
29.01	0.836662
29	0.836701
28.99	0.83674
28.98	0.836779
28.97	0.836818
28.96	0.836857
28.95	0.836896
28.94	0.836936
28.93	0.836975
28.92	0.837014
28.91	0.837054
28.9	0.837093
28.89	0.837132
28.88	0.837172
28.87	0.837211
28.86	0.837251
28.85	0.83729
28.84	0.83733
28.83	0.837369
28.82	0.837409
28.81	0.837449
28.8	0.837488
28.79	0.837528
28.78	0.837568
28.77	0.837607
28.76	0.837647
28.75	0.837687
28.74	0.837727
28.73	0.837767
28.72	0.837807
28.71	0.837847
28.7	0.837887
28.69	0.837927
28.68	0.837967
28.67	0.838007
28.66	0.838047
28.65	0.838087
28.64	0.838127
28.63	0.838167
28.62	0.838208
28.61	0.838248
28.6	0.838288
28.59	0.838329
28.58	0.838369
28.57	0.838409
28.56	0.83845
28.55	0.83849
28.54	0.838531
28.53	0.838571
28.52	0.838612
28.51	0.838652
28.5	0.838693
28.49	0.838733
28.48	0.838774
28.47	0.838815
28.46	0.838856
28.45	0.838896
28.44	0.838937
28.43	0.838978
28.42	0.839019
28.41	0.83906
28.4	0.839101
28.39	0.839142
28.38	0.839183
28.37	0.839224
28.36	0.839265
28.35	0.839306
28.34	0.839347
28.33	0.839388
28.32	0.839429
28.31	0.839471
28.3	0.839512
28.29	0.839553
28.28	0.839594
28.27	0.839636
28.26	0.839677
28.25	0.839719
28.24	0.83976
28.23	0.839801
28.22	0.839843
28.21	0.839885
28.2	0.839926
28.19	0.839968
28.18	0.840009
28.17	0.840051
28.16	0.840093
28.15	0.840135
28.14	0.840176
28.13	0.840218
28.12	0.84026
28.11	0.840302
28.1	0.840344
28.09	0.840386
28.08	0.840428
28.07	0.84047
28.06	0.840512
28.05	0.840554
28.04	0.840596
28.03	0.840638
28.02	0.84068
28.01	0.840723
28	0.840765
27.99	0.840807
27.98	0.840849
27.97	0.840892
27.96	0.840934
27.95	0.840976
27.94	0.841019
27.93	0.841061
27.92	0.841104
27.91	0.841147
27.9	0.841189
27.89	0.841232
27.88	0.841274
27.87	0.841317
27.86	0.84136
27.85	0.841403
27.84	0.841445
27.83	0.841488
27.82	0.841531
27.81	0.841574
27.8	0.841617
27.79	0.84166
27.78	0.841703
27.77	0.841746
27.76	0.841789
27.75	0.841832
27.74	0.841875
27.73	0.841918
27.72	0.841962
27.71	0.842005
27.7	0.842048
27.69	0.842091
27.68	0.842135
27.67	0.842178
27.66	0.842222
27.65	0.842265
27.64	0.842309
27.63	0.842352
27.62	0.842396
27.61	0.842439
27.6	0.842483
27.59	0.842527
27.58	0.84257
27.57	0.842614
27.56	0.842658
27.55	0.842702
27.54	0.842745
27.53	0.842789
27.52	0.842833
27.51	0.842877
27.5	0.842921
27.49	0.842965
27.48	0.843009
27.47	0.843053
27.46	0.843098
27.45	0.843142
27.44	0.843186
27.43	0.84323
27.42	0.843274
27.41	0.843319
27.4	0.843363
27.39	0.843407
27.38	0.843452
27.37	0.843496
27.36	0.843541
27.35	0.843585
27.34	0.84363
27.33	0.843675
27.32	0.843719
27.31	0.843764
27.3	0.843809
27.29	0.843853
27.28	0.843898
27.27	0.843943
27.26	0.843988
27.25	0.844033
27.24	0.844078
27.23	0.844123
27.22	0.844168
27.21	0.844213
27.2	0.844258
27.19	0.844303
27.18	0.844348
27.17	0.844393
27.16	0.844438
27.15	0.844484
27.14	0.844529
27.13	0.844574
27.12	0.84462
27.11	0.844665
27.1	0.844711
27.09	0.844756
27.08	0.844802
27.07	0.844847
27.06	0.844893
27.05	0.844939
27.04	0.844984
27.03	0.84503
27.02	0.845076
27.01	0.845122
27	0.845167
26.99	0.845213
26.98	0.845259
26.97	0.845305
26.96	0.845351
26.95	0.845397
26.94	0.845443
26.93	0.845489
26.92	0.845536
26.91	0.845582
26.9	0.845628
26.89	0.845674
26.88	0.845721
26.87	0.845767
26.86	0.845813
26.85	0.84586
26.84	0.845906
26.83	0.845953
26.82	0.845999
26.81	0.846046
26.8	0.846092
26.79	0.846139
26.78	0.846186
26.77	0.846232
26.76	0.846279
26.75	0.846326
26.74	0.846373
26.73	0.84642
26.72	0.846467
26.71	0.846514
26.7	0.846561
26.69	0.846608
26.68	0.846655
26.67	0.846702
26.66	0.846749
26.65	0.846796
26.64	0.846844
26.63	0.846891
26.62	0.846938
26.61	0.846986
26.6	0.847033
26.59	0.84708
26.58	0.847128
26.57	0.847175
26.56	0.847223
26.55	0.847271
26.54	0.847318
26.53	0.847366
26.52	0.847414
26.51	0.847461
26.5	0.847509
26.49	0.847557
26.48	0.847605
26.47	0.847653
26.46	0.847701
26.45	0.847749
26.44	0.847797
26.43	0.847845
26.42	0.847893
26.41	0.847941
26.4	0.84799
26.39	0.848038
26.38	0.848086
26.37	0.848135
26.36	0.848183
26.35	0.848231
26.34	0.84828
26.33	0.848328
26.32	0.848377
26.31	0.848425
26.3	0.848474
26.29	0.848523
26.28	0.848571
26.27	0.84862
26.26	0.848669
26.25	0.848718
26.24	0.848767
26.23	0.848816
26.22	0.848865
26.21	0.848914
26.2	0.848963
26.19	0.849012
26.18	0.849061
26.17	0.84911
26.16	0.849159
26.15	0.849209
26.14	0.849258
26.13	0.849307
26.12	0.849357
26.11	0.849406
26.1	0.849456
26.09	0.849505
26.08	0.849555
