x	y
30	0.718704
29.99	0.718732
29.98	0.71876
29.97	0.718788
29.96	0.718817
29.95	0.718845
29.94	0.718873
29.93	0.718901
29.92	0.71893
29.91	0.718958
29.9	0.718986
29.89	0.719014
29.88	0.719043
29.87	0.719071
29.86	0.7191
29.85	0.719128
29.84	0.719156
29.83	0.719185
29.82	0.719213
29.81	0.719242
29.8	0.71927
29.79	0.719299
29.78	0.719328
29.77	0.719356
29.76	0.719385
29.75	0.719413
29.74	0.719442
29.73	0.719471
29.72	0.719499
29.71	0.719528
29.7	0.719557
29.69	0.719586
29.68	0.719614
29.67	0.719643
29.66	0.719672
29.65	0.719701
29.64	0.71973
29.63	0.719759
29.62	0.719787
29.61	0.719816
29.6	0.719845
29.59	0.719874
29.58	0.719903
29.57	0.719932
29.56	0.719961
29.55	0.71999
29.54	0.720019
29.53	0.720049
29.52	0.720078
29.51	0.720107
29.5	0.720136
29.49	0.720165
29.48	0.720194
29.47	0.720224
29.46	0.720253
29.45	0.720282
29.44	0.720311
29.43	0.720341
29.42	0.72037
29.41	0.720399
29.4	0.720429
29.39	0.720458
29.38	0.720488
29.37	0.720517
29.36	0.720547
29.35	0.720576
29.34	0.720606
29.33	0.720635
29.32	0.720665
29.31	0.720694
29.3	0.720724
29.29	0.720753
29.28	0.720783
29.27	0.720813
29.26	0.720843
29.25	0.720872
29.24	0.720902
29.23	0.720932
29.22	0.720962
29.21	0.720991
29.2	0.721021
29.19	0.721051
29.18	0.721081
29.17	0.721111
29.16	0.721141
29.15	0.721171
29.14	0.721201
29.13	0.721231
29.12	0.721261
29.11	0.721291
29.1	0.721321
29.09	0.721351
29.08	0.721381
29.07	0.721411
29.06	0.721441
29.05	0.721471
29.04	0.721502
29.03	0.721532
29.02	0.721562
29.01	0.721592
29	0.721623
28.99	0.721653
28.98	0.721683
28.97	0.721714
28.96	0.721744
28.95	0.721774
28.94	0.721805
28.93	0.721835
28.92	0.721866
28.91	0.721896
28.9	0.721927
28.89	0.721957
28.88	0.721988
28.87	0.722018
28.86	0.722049
28.85	0.72208
28.84	0.72211
28.83	0.722141
28.82	0.722172
28.81	0.722202
28.8	0.722233
28.79	0.722264
28.78	0.722295
28.77	0.722326
28.76	0.722356
28.75	0.722387
28.74	0.722418
28.73	0.722449
28.72	0.72248
28.71	0.722511
28.7	0.722542
28.69	0.722573
28.68	0.722604
28.67	0.722635
28.66	0.722666
28.65	0.722697
28.64	0.722728
28.63	0.72276
28.62	0.722791
28.61	0.722822
28.6	0.722853
28.59	0.722885
28.58	0.722916
28.57	0.722947
28.56	0.722978
28.55	0.72301
28.54	0.723041
28.53	0.723073
28.52	0.723104
28.51	0.723135
28.5	0.723167
28.49	0.723198
28.48	0.72323
28.47	0.723262
28.46	0.723293
28.45	0.723325
28.44	0.723356
28.43	0.723388
28.42	0.72342
28.41	0.723451
28.4	0.723483
28.39	0.723515
28.38	0.723547
28.37	0.723578
28.36	0.72361
28.35	0.723642
28.34	0.723674
28.33	0.723706
28.32	0.723738
28.31	0.72377
28.3	0.723802
28.29	0.723834
28.28	0.723866
28.27	0.723898
28.26	0.72393
28.25	0.723962
28.24	0.723994
28.23	0.724026
28.22	0.724058
28.21	0.724091
28.2	0.724123
28.19	0.724155
28.18	0.724187
28.17	0.72422
28.16	0.724252
28.15	0.724284
28.14	0.724317
28.13	0.724349
28.12	0.724381
28.11	0.724414
28.1	0.724446
28.09	0.724479
28.08	0.724511
28.07	0.724544
28.06	0.724577
28.05	0.724609
28.04	0.724642
28.03	0.724674
28.02	0.724707
28.01	0.72474
28	0.724773
27.99	0.724805
27.98	0.724838
27.97	0.724871
27.96	0.724904
27.95	0.724937
27.94	0.72497
27.93	0.725002
27.92	0.725035
27.91	0.725068
27.9	0.725101
27.89	0.725134
27.88	0.725167
27.87	0.7252
27.86	0.725234
27.85	0.725267
27.84	0.7253
27.83	0.725333
27.82	0.725366
27.81	0.725399
27.8	0.725433
27.79	0.725466
27.78	0.725499
27.77	0.725533
27.76	0.725566
27.75	0.725599
27.74	0.725633
27.73	0.725666
27.72	0.7257
27.71	0.725733
27.7	0.725767
27.69	0.7258
27.68	0.725834
27.67	0.725868
27.66	0.725901
27.65	0.725935
27.64	0.725969
27.63	0.726002
27.62	0.726036
27.61	0.72607
27.6	0.726104
27.59	0.726137
27.58	0.726171
27.57	0.726205
27.56	0.726239
27.55	0.726273
27.54	0.726307
27.53	0.726341
27.52	0.726375
27.51	0.726409
27.5	0.726443
27.49	0.726477
27.48	0.726511
27.47	0.726545
27.46	0.72658
27.45	0.726614
27.44	0.726648
27.43	0.726682
27.42	0.726717
27.41	0.726751
27.4	0.726785
27.39	0.72682
27.38	0.726854
27.37	0.726889
27.36	0.726923
27.35	0.726957
27.34	0.726992
27.33	0.727027
27.32	0.727061
27.31	0.727096
27.3	0.72713
27.29	0.727165
27.28	0.7272
27.27	0.727234
27.26	0.727269
27.25	0.727304
27.24	0.727339
27.23	0.727374
27.22	0.727408
27.21	0.727443
27.2	0.727478
27.19	0.727513
27.18	0.727548
27.17	0.727583
27.16	0.727618
27.15	0.727653
27.14	0.727688
27.13	0.727723
27.12	0.727759
27.11	0.727794
27.1	0.727829
27.09	0.727864
27.08	0.727899
27.07	0.727935
27.06	0.72797
27.05	0.728005
27.04	0.728041
27.03	0.728076
27.02	0.728112
27.01	0.728147
27	0.728182
26.99	0.728218
26.98	0.728254
26.97	0.728289
26.96	0.728325
26.95	0.72836
26.94	0.728396
26.93	0.728432
26.92	0.728468
26.91	0.728503
26.9	0.728539
26.89	0.728575
26.88	0.728611
26.87	0.728647
26.86	0.728683
26.85	0.728718
26.84	0.728754
26.83	0.72879
26.82	0.728826
26.81	0.728862
26.8	0.728899
26.79	0.728935
26.78	0.728971
26.77	0.729007
26.76	0.729043
26.75	0.729079
26.74	0.729116
26.73	0.729152
26.72	0.729188
26.71	0.729225
26.7	0.729261
26.69	0.729298
26.68	0.729334
26.67	0.72937
26.66	0.729407
26.65	0.729443
26.64	0.72948
26.63	0.729517
26.62	0.729553
26.61	0.72959
26.6	0.729627
26.59	0.729663
26.58	0.7297
26.57	0.729737
26.56	0.729774
26.55	0.729811
26.54	0.729847
26.53	0.729884
26.52	0.729921
26.51	0.729958
26.5	0.729995
26.49	0.730032
26.48	0.730069
26.47	0.730106
26.46	0.730144
26.45	0.730181
26.44	0.730218
26.43	0.730255
26.42	0.730292
26.41	0.73033
26.4	0.730367
26.39	0.730404
26.38	0.730442
26.37	0.730479
26.36	0.730517
26.35	0.730554
26.34	0.730592
26.33	0.730629
26.32	0.730667
26.31	0.730704
26.3	0.730742
26.29	0.73078
26.28	0.730817
26.27	0.730855
26.26	0.730893
26.25	0.730931
26.24	0.730968
26.23	0.731006
26.22	0.731044
26.21	0.731082
26.2	0.73112
26.19	0.731158
26.18	0.731196
26.17	0.731234
26.16	0.731272
26.15	0.73131
26.14	0.731348
26.13	0.731387
26.12	0.731425
26.11	0.731463
26.1	0.731501
26.09	0.73154
26.08	0.731578
26.07	0.731616
26.06	0.731655
26.05	0.731693
26.04	0.731732
26.03	0.73177
26.02	0.731809
26.01	0.731847
26	0.731886
25.99	0.731925
25.98	0.731963
25.97	0.732002
25.96	0.732041
25.95	0.73208
25.94	0.732118
25.93	0.732157
25.92	0.732196
25.91	0.732235
25.9	0.732274
25.89	0.732313
25.88	0.732352
25.87	0.732391
25.86	0.73243
25.85	0.732469
25.84	0.732508
25.83	0.732548
25.82	0.732587
25.81	0.732626
25.8	0.732665
25.79	0.732705
25.78	0.732744
25.77	0.732783
25.76	0.732823
25.75	0.732862
25.74	0.732902
25.73	0.732941
25.72	0.732981
25.71	0.73302
25.7	0.73306
25.69	0.7331
25.68	0.733139
25.67	0.733179
25.66	0.733219
25.65	0.733259
25.64	0.733299
25.63	0.733338
25.62	0.733378
25.61	0.733418
25.6	0.733458
25.59	0.733498
25.58	0.733538
25.57	0.733578
25.56	0.733618
25.55	0.733659
25.54	0.733699
25.53	0.733739
25.52	0.733779
25.51	0.73382
25.5	0.73386
25.49	0.7339
25.48	0.733941
25.47	0.733981
25.46	0.734022
25.45	0.734062
25.44	0.734103
25.43	0.734143
25.42	0.734184
25.41	0.734224
25.4	0.734265
25.39	0.734306
25.38	0.734347
25.37	0.734387
25.36	0.734428
25.35	0.734469
25.34	0.73451
25.33	0.734551
25.32	0.734592
25.31	0.734633
25.3	0.734674
25.29	0.734715
25.28	0.734756
25.27	0.734797
25.26	0.734839
25.25	0.73488
25.24	0.734921
25.23	0.734962
25.22	0.735004
25.21	0.735045
25.2	0.735087
25.19	0.735128
25.18	0.735169
25.17	0.735211
25.16	0.735252
25.15	0.735294
25.14	0.735336
25.13	0.735377
25.12	0.735419
25.11	0.735461
25.1	0.735503
25.09	0.735545
25.08	0.735586
25.07	0.735628
25.06	0.73567
25.05	0.735712
25.04	0.735754
25.03	0.735796
25.02	0.735838
25.01	0.73588
25	0.735923
24.99	0.735965
24.98	0.736007
24.97	0.736049
24.96	0.736092
24.95	0.736134
24.94	0.736176
24.93	0.736219
24.92	0.736261
24.91	0.736304
24.9	0.736346
24.89	0.736389
24.88	0.736431
24.87	0.736474
24.86	0.736517
24.85	0.73656
24.84	0.736602
24.83	0.736645
24.82	0.736688
24.81	0.736731
24.8	0.736774
24.79	0.736817
24.78	0.73686
24.77	0.736903
24.76	0.736946
24.75	0.736989
24.74	0.737032
24.73	0.737075
24.72	0.737119
24.71	0.737162
24.7	0.737205
24.69	0.737249
24.68	0.737292
24.67	0.737336
24.66	0.737379
24.65	0.737423
24.64	0.737466
24.63	0.73751
24.62	0.737553
24.61	0.737597
24.6	0.737641
24.59	0.737684
24.58	0.737728
24.57	0.737772
24.56	0.737816
24.55	0.73786
24.54	0.737904
24.53	0.737948
24.52	0.737992
24.51	0.738036
24.5	0.73808
24.49	0.738124
24.48	0.738168
24.47	0.738213
24.46	0.738257
24.45	0.738301
24.44	0.738346
24.43	0.73839
24.42	0.738435
24.41	0.738479
24.4	0.738524
24.39	0.738568
24.38	0.738613
24.37	0.738657
24.36	0.738702
24.35	0.738747
24.34	0.738792
24.33	0.738836
24.32	0.738881
24.31	0.738926
24.3	0.738971
24.29	0.739016
24.28	0.739061
24.27	0.739106
24.26	0.739151
24.25	0.739197
24.24	0.739242
24.23	0.739287
24.22	0.739332
24.21	0.739378
24.2	0.739423
24.19	0.739468
24.18	0.739514
24.17	0.739559
24.16	0.739605
24.15	0.73965
24.14	0.739696
24.13	0.739742
24.12	0.739787
24.11	0.739833
24.1	0.739879
24.09	0.739925
24.08	0.739971
24.07	0.740017
24.06	0.740063
24.05	0.740109
24.04	0.740155
24.03	0.740201
24.02	0.740247
24.01	0.740293
24	0.740339
23.99	0.740385
23.98	0.740432
23.97	0.740478
23.96	0.740525
23.95	0.740571
23.94	0.740617
23.93	0.740664
23.92	0.740711
23.91	0.740757
23.9	0.740804
23.89	0.740851
23.88	0.740897
23.87	0.740944
23.86	0.740991
23.85	0.741038
23.84	0.741085
23.83	0.741132
23.82	0.741179
23.81	0.741226
23.8	0.741273
23.79	0.74132
23.78	0.741367
23.77	0.741414
23.76	0.741462
23.75	0.741509
23.74	0.741556
23.73	0.741604
23.72	0.741651
23.71	0.741699
23.7	0.741746
23.69	0.741794
23.68	0.741842
23.67	0.741889
23.66	0.741937
23.65	0.741985
23.64	0.742033
23.63	0.742081
23.62	0.742129
23.61	0.742177
23.6	0.742225
23.59	0.742273
23.58	0.742321
23.57	0.742369
23.56	0.742417
23.55	0.742465
23.54	0.742514
23.53	0.742562
23.52	0.74261
23.51	0.742659
23.5	0.742707
23.49	0.742756
23.48	0.742804
23.47	0.742853
23.46	0.742902
23.45	0.74295
23.44	0.742999
23.43	0.743048
23.42	0.743097
23.41	0.743146
23.4	0.743195
23.39	0.743244
23.38	0.743293
23.37	0.743342
23.36	0.743391
