x	y
30	0.847912
29.99	0.847949
29.98	0.847987
29.97	0.848024
29.96	0.848062
29.95	0.848099
29.94	0.848137
29.93	0.848174
29.92	0.848212
29.91	0.848249
29.9	0.848287
29.89	0.848324
29.88	0.848362
29.87	0.8484
29.86	0.848438
29.85	0.848475
29.84	0.848513
29.83	0.848551
29.82	0.848589
29.81	0.848627
29.8	0.848665
29.79	0.848702
29.78	0.84874
29.77	0.848778
29.76	0.848816
29.75	0.848854
29.74	0.848893
29.73	0.848931
29.72	0.848969
29.71	0.849007
29.7	0.849045
29.69	0.849083
29.68	0.849122
29.67	0.84916
29.66	0.849198
29.65	0.849236
29.64	0.849275
29.63	0.849313
29.62	0.849352
29.61	0.84939
29.6	0.849428
29.59	0.849467
29.58	0.849506
29.57	0.849544
29.56	0.849583
29.55	0.849621
29.54	0.84966
29.53	0.849699
29.52	0.849737
29.51	0.849776
29.5	0.849815
29.49	0.849854
29.48	0.849892
29.47	0.849931
29.46	0.84997
29.45	0.850009
29.44	0.850048
29.43	0.850087
29.42	0.850126
29.41	0.850165
29.4	0.850204
29.39	0.850243
29.38	0.850282
29.37	0.850321
29.36	0.850361
29.35	0.8504
29.34	0.850439
29.33	0.850478
29.32	0.850518
29.31	0.850557
29.3	0.850596
29.29	0.850636
29.28	0.850675
29.27	0.850715
29.26	0.850754
29.25	0.850793
29.24	0.850833
29.23	0.850873
29.22	0.850912
29.21	0.850952
29.2	0.850991
29.19	0.851031
29.18	0.851071
29.17	0.851111
29.16	0.85115
29.15	0.85119
29.14	0.85123
29.13	0.85127
29.12	0.85131
29.11	0.85135
29.1	0.85139
29.09	0.85143
29.08	0.85147
29.07	0.85151
29.06	0.85155
29.05	0.85159
29.04	0.85163
29.03	0.85167
29.02	0.85171
29.01	0.851751
29	0.851791
28.99	0.851831
28.98	0.851872
28.97	0.851912
28.96	0.851952
28.95	0.851993
28.94	0.852033
28.93	0.852074
28.92	0.852114
28.91	0.852155
28.9	0.852195
28.89	0.852236
28.88	0.852277
28.87	0.852317
28.86	0.852358
28.85	0.852399
28.84	0.85244
28.83	0.85248
28.82	0.852521
28.81	0.852562
28.8	0.852603
28.79	0.852644
28.78	0.852685
28.77	0.852726
28.76	0.852767
28.75	0.852808
28.74	0.852849
28.73	0.85289
28.72	0.852931
28.71	0.852972
28.7	0.853014
28.69	0.853055
28.68	0.853096
28.67	0.853137
28.66	0.853179
28.65	0.85322
28.64	0.853262
28.63	0.853303
28.62	0.853345
28.61	0.853386
28.6	0.853428
28.59	0.853469
28.58	0.853511
28.57	0.853552
28.56	0.853594
28.55	0.853636
28.54	0.853678
28.53	0.853719
28.52	0.853761
28.51	0.853803
28.5	0.853845
28.49	0.853887
28.48	0.853929
28.47	0.853971
28.46	0.854013
28.45	0.854055
28.44	0.854097
28.43	0.854139
28.42	0.854181
28.41	0.854223
28.4	0.854265
28.39	0.854307
28.38	0.85435
28.37	0.854392
28.36	0.854434
28.35	0.854477
28.34	0.854519
28.33	0.854562
