x	y
30	0.914749
29.99	0.914792
29.98	0.914834
29.97	0.914877
29.96	0.914919
29.95	0.914962
29.94	0.915005
29.93	0.915047
29.92	0.91509
29.91	0.915133
29.9	0.915176
29.89	0.915218
29.88	0.915261
29.87	0.915304
29.86	0.915347
29.85	0.91539
29.84	0.915433
29.83	0.915476
29.82	0.915519
29.81	0.915562
29.8	0.915605
29.79	0.915648
29.78	0.915691
29.77	0.915735
29.76	0.915778
29.75	0.915821
29.74	0.915864
29.73	0.915908
29.72	0.915951
29.71	0.915995
29.7	0.916038
29.69	0.916081
29.68	0.916125
29.67	0.916168
29.66	0.916212
29.65	0.916256
29.64	0.916299
29.63	0.916343
29.62	0.916386
29.61	0.91643
29.6	0.916474
29.59	0.916518
29.58	0.916562
29.57	0.916605
29.56	0.916649
29.55	0.916693
29.54	0.916737
29.53	0.916781
29.52	0.916825
29.51	0.916869
29.5	0.916913
29.49	0.916957
29.48	0.917002
29.47	0.917046
29.46	0.91709
29.45	0.917134
29.44	0.917179
29.43	0.917223
29.42	0.917267
29.41	0.917312
29.4	0.917356
29.39	0.9174
29.38	0.917445
29.37	0.917489
29.36	0.917534
29.35	0.917579
29.34	0.917623
29.33	0.917668
29.32	0.917713
29.31	0.917757
29.3	0.917802
29.29	0.917847
29.28	0.917892
29.27	0.917937
29.26	0.917982
29.25	0.918026
29.24	0.918071
29.23	0.918116
29.22	0.918161
29.21	0.918207
29.2	0.918252
29.19	0.918297
29.18	0.918342
29.17	0.918387
29.16	0.918432
29.15	0.918478
29.14	0.918523
29.13	0.918568
29.12	0.918614
29.11	0.918659
29.1	0.918705
29.09	0.91875
29.08	0.918796
29.07	0.918841
29.06	0.918887
29.05	0.918932
29.04	0.918978
29.03	0.919024
29.02	0.919069
29.01	0.919115
29	0.919161
28.99	0.919207
28.98	0.919253
28.97	0.919299
28.96	0.919345
28.95	0.919391
28.94	0.919437
28.93	0.919483
28.92	0.919529
28.91	0.919575
28.9	0.919621
28.89	0.919667
28.88	0.919714
28.87	0.91976
28.86	0.919806
28.85	0.919852
28.84	0.919899
28.83	0.919945
28.82	0.919992
28.81	0.920038
28.8	0.920085
28.79	0.920131
28.78	0.920178
28.77	0.920224
28.76	0.920271
28.75	0.920318
28.74	0.920365
28.73	0.920411
28.72	0.920458
28.71	0.920505
28.7	0.920552
28.69	0.920599
28.68	0.920646
28.67	0.920693
28.66	0.92074
28.65	0.920787
28.64	0.920834
28.63	0.920881
28.62	0.920928
28.61	0.920976
28.6	0.921023
28.59	0.92107
28.58	0.921117
28.57	0.921165
28.56	0.921212
28.55	0.92126
28.54	0.921307
28.53	0.921355
28.52	0.921402
28.51	0.92145
28.5	0.921497
28.49	0.921545
28.48	0.921593
28.47	0.921641
28.46	0.921688
28.45	0.921736
28.44	0.921784
28.43	0.921832
28.42	0.92188
28.41	0.921928
