x	y
30	1.14988
29.99	1.14995
29.98	1.15001
29.97	1.15007
29.96	1.15013
29.95	1.1502
29.94	1.15026
29.93	1.15032
29.92	1.15038
29.91	1.15045
29.9	1.15051
29.89	1.15057
29.88	1.15063
29.87	1.1507
29.86	1.15076
29.85	1.15082
29.84	1.15088
29.83	1.15095
29.82	1.15101
29.81	1.15107
29.8	1.15114
29.79	1.1512
29.78	1.15126
29.77	1.15133
29.76	1.15139
29.75	1.15145
29.74	1.15152
29.73	1.15158
29.72	1.15164
29.71	1.15171
29.7	1.15177
29.69	1.15183
29.68	1.1519
29.67	1.15196
29.66	1.15203
29.65	1.15209
29.64	1.15215
29.63	1.15222
29.62	1.15228
29.61	1.15234
29.6	1.15241
29.59	1.15247
29.58	1.15254
29.57	1.1526
29.56	1.15267
29.55	1.15273
29.54	1.15279
29.53	1.15286
29.52	1.15292
29.51	1.15299
29.5	1.15305
29.49	1.15312
29.48	1.15318
29.47	1.15325
29.46	1.15331
29.45	1.15338
29.44	1.15344
29.43	1.15351
29.42	1.15357
29.41	1.15364
29.4	1.1537
29.39	1.15377
29.38	1.15383
29.37	1.1539
29.36	1.15396
29.35	1.15403
29.34	1.15409
29.33	1.15416
29.32	1.15422
29.31	1.15429
29.3	1.15435
29.29	1.15442
29.28	1.15449
29.27	1.15455
29.26	1.15462
29.25	1.15468
29.24	1.15475
29.23	1.15481
29.22	1.15488
29.21	1.15495
29.2	1.15501
29.19	1.15508
29.18	1.15514
29.17	1.15521
29.16	1.15528
29.15	1.15534
29.14	1.15541
29.13	1.15548
29.12	1.15554
29.11	1.15561
29.1	1.15568
29.09	1.15574
29.08	1.15581
29.07	1.15588
29.06	1.15594
29.05	1.15601
29.04	1.15608
29.03	1.15614
29.02	1.15621
29.01	1.15628
29	1.15635
28.99	1.15641
28.98	1.15648
28.97	1.15655
28.96	1.15661
28.95	1.15668
28.94	1.15675
28.93	1.15682
28.92	1.15688
28.91	1.15695
28.9	1.15702
28.89	1.15709
28.88	1.15715
28.87	1.15722
28.86	1.15729
28.85	1.15736
28.84	1.15743
28.83	1.15749
28.82	1.15756
28.81	1.15763
28.8	1.1577
28.79	1.15777
28.78	1.15784
28.77	1.1579
28.76	1.15797
28.75	1.15804
28.74	1.15811
28.73	1.15818
28.72	1.15825
28.71	1.15831
28.7	1.15838
28.69	1.15845
28.68	1.15852
28.67	1.15859
28.66	1.15866
28.65	1.15873
28.64	1.1588
28.63	1.15887
28.62	1.15894
28.61	1.159
28.6	1.15907
28.59	1.15914
28.58	1.15921
28.57	1.15928
28.56	1.15935
28.55	1.15942
28.54	1.15949
28.53	1.15956
28.52	1.15963
28.51	1.1597
28.5	1.15977
28.49	1.15984
28.48	1.15991
28.47	1.15998
28.46	1.16005
28.45	1.16012
28.44	1.16019
28.43	1.16026
28.42	1.16033
28.41	1.1604
28.4	1.16047
28.39	1.16054
28.38	1.16061
28.37	1.16068
28.36	1.16075
28.35	1.16082
28.34	1.16089
28.33	1.16097
28.32	1.16104
28.31	1.16111
28.3	1.16118
28.29	1.16125
28.28	1.16132
28.27	1.16139
28.26	1.16146
28.25	1.16153
28.24	1.16161
28.23	1.16168
28.22	1.16175
28.21	1.16182
28.2	1.16189
28.19	1.16196
28.18	1.16203
28.17	1.16211
28.16	1.16218
28.15	1.16225
28.14	1.16232
28.13	1.16239
28.12	1.16247
28.11	1.16254
28.1	1.16261
28.09	1.16268
28.08	1.16275
28.07	1.16283
28.06	1.1629
28.05	1.16297
28.04	1.16304
28.03	1.16312
28.02	1.16319
28.01	1.16326
28	1.16333
27.99	1.16341
27.98	1.16348
27.97	1.16355
27.96	1.16363
27.95	1.1637
27.94	1.16377
27.93	1.16384
27.92	1.16392
27.91	1.16399
27.9	1.16406
27.89	1.16414
27.88	1.16421
27.87	1.16429
27.86	1.16436
27.85	1.16443
27.84	1.16451
27.83	1.16458
27.82	1.16465
27.81	1.16473
27.8	1.1648
27.79	1.16488
27.78	1.16495
27.77	1.16502
27.76	1.1651
27.75	1.16517
27.74	1.16525
27.73	1.16532
27.72	1.16539
27.71	1.16547
27.7	1.16554
27.69	1.16562
27.68	1.16569
27.67	1.16577
27.66	1.16584
27.65	1.16592
27.64	1.16599
27.63	1.16607
27.62	1.16614
27.61	1.16622
27.6	1.16629
27.59	1.16637
27.58	1.16644
27.57	1.16652
27.56	1.16659
27.55	1.16667
27.54	1.16674
27.53	1.16682
27.52	1.1669
27.51	1.16697
27.5	1.16705
27.49	1.16712
27.48	1.1672
27.47	1.16728
27.46	1.16735
27.45	1.16743
27.44	1.1675
27.43	1.16758
27.42	1.16766
27.41	1.16773
27.4	1.16781
27.39	1.16789
27.38	1.16796
27.37	1.16804
27.36	1.16812
27.35	1.16819
27.34	1.16827
27.33	1.16835
27.32	1.16842
27.31	1.1685
27.3	1.16858
27.29	1.16865
27.28	1.16873
27.27	1.16881
27.26	1.16889
27.25	1.16896
27.24	1.16904
27.23	1.16912
27.22	1.1692
27.21	1.16927
27.2	1.16935
27.19	1.16943
27.18	1.16951
27.17	1.16958
27.16	1.16966
27.15	1.16974
27.14	1.16982
27.13	1.1699
27.12	1.16997
27.11	1.17005
27.1	1.17013
27.09	1.17021
27.08	1.17029
27.07	1.17037
27.06	1.17045
27.05	1.17052
27.04	1.1706
27.03	1.17068
27.02	1.17076
27.01	1.17084
27	1.17092
26.99	1.171
26.98	1.17108
26.97	1.17116
26.96	1.17124
26.95	1.17132
26.94	1.17139
