x	y
30	0.641658
29.99	0.641681
29.98	0.641704
29.97	0.641727
29.96	0.64175
29.95	0.641773
29.94	0.641797
29.93	0.64182
29.92	0.641843
29.91	0.641866
29.9	0.641889
29.89	0.641913
29.88	0.641936
29.87	0.641959
29.86	0.641982
29.85	0.642006
29.84	0.642029
29.83	0.642052
29.82	0.642076
29.81	0.642099
29.8	0.642122
29.79	0.642146
29.78	0.642169
29.77	0.642193
29.76	0.642216
29.75	0.64224
29.74	0.642263
29.73	0.642287
29.72	0.64231
29.71	0.642334
29.7	0.642357
29.69	0.642381
29.68	0.642404
29.67	0.642428
29.66	0.642452
29.65	0.642475
29.64	0.642499
29.63	0.642523
29.62	0.642546
29.61	0.64257
29.6	0.642594
29.59	0.642618
29.58	0.642641
29.57	0.642665
29.56	0.642689
29.55	0.642713
29.54	0.642737
29.53	0.642761
29.52	0.642784
29.51	0.642808
29.5	0.642832
29.49	0.642856
29.48	0.64288
29.47	0.642904
29.46	0.642928
29.45	0.642952
29.44	0.642976
29.43	0.643
29.42	0.643024
29.41	0.643048
29.4	0.643072
29.39	0.643097
29.38	0.643121
29.37	0.643145
29.36	0.643169
29.35	0.643193
29.34	0.643217
29.33	0.643242
29.32	0.643266
29.31	0.64329
29.3	0.643314
29.29	0.643339
29.28	0.643363
29.27	0.643387
29.26	0.643412
29.25	0.643436
29.24	0.64346
29.23	0.643485
29.22	0.643509
29.21	0.643534
29.2	0.643558
29.19	0.643583
29.18	0.643607
29.17	0.643632
29.16	0.643656
29.15	0.643681
29.14	0.643705
29.13	0.64373
29.12	0.643754
29.11	0.643779
29.1	0.643804
29.09	0.643828
29.08	0.643853
29.07	0.643878
29.06	0.643902
29.05	0.643927
29.04	0.643952
29.03	0.643977
29.02	0.644001
29.01	0.644026
29	0.644051
28.99	0.644076
28.98	0.644101
28.97	0.644126
28.96	0.644151
28.95	0.644176
28.94	0.644201
28.93	0.644225
28.92	0.64425
28.91	0.644275
28.9	0.6443
28.89	0.644325
28.88	0.644351
28.87	0.644376
28.86	0.644401
28.85	0.644426
28.84	0.644451
28.83	0.644476
28.82	0.644501
28.81	0.644526
28.8	0.644552
28.79	0.644577
28.78	0.644602
28.77	0.644627
28.76	0.644653
28.75	0.644678
28.74	0.644703
28.73	0.644729
28.72	0.644754
28.71	0.644779
28.7	0.644805
28.69	0.64483
28.68	0.644856
28.67	0.644881
28.66	0.644907
28.65	0.644932
28.64	0.644958
28.63	0.644983
28.62	0.645009
28.61	0.645034
28.6	0.64506
28.59	0.645086
28.58	0.645111
28.57	0.645137
28.56	0.645163
28.55	0.645188
28.54	0.645214
28.53	0.64524
28.52	0.645265
28.51	0.645291
28.5	0.645317
28.49	0.645343
28.48	0.645369
28.47	0.645395
28.46	0.64542
28.45	0.645446
28.44	0.645472
28.43	0.645498
28.42	0.645524
28.41	0.64555
28.4	0.645576
28.39	0.645602
28.38	0.645628
28.37	0.645654
28.36	0.64568
28.35	0.645706
28.34	0.645732
28.33	0.645759
28.32	0.645785
28.31	0.645811
28.3	0.645837
28.29	0.645863
28.28	0.64589
28.27	0.645916
28.26	0.645942
28.25	0.645968
28.24	0.645995
28.23	0.646021
28.22	0.646047
28.21	0.646074
28.2	0.6461
28.19	0.646127
28.18	0.646153
28.17	0.64618
28.16	0.646206
28.15	0.646233
28.14	0.646259
28.13	0.646286
28.12	0.646312
28.11	0.646339
28.1	0.646365
28.09	0.646392
28.08	0.646419
28.07	0.646445
28.06	0.646472
28.05	0.646499
28.04	0.646526
28.03	0.646552
28.02	0.646579
28.01	0.646606
28	0.646633
27.99	0.64666
27.98	0.646686
27.97	0.646713
27.96	0.64674
27.95	0.646767
27.94	0.646794
27.93	0.646821
27.92	0.646848
27.91	0.646875
27.9	0.646902
27.89	0.646929
27.88	0.646956
27.87	0.646983
27.86	0.64701
27.85	0.647038
27.84	0.647065
27.83	0.647092
27.82	0.647119
27.81	0.647146
27.8	0.647174
27.79	0.647201
27.78	0.647228
27.77	0.647255
27.76	0.647283
27.75	0.64731
27.74	0.647338
27.73	0.647365
27.72	0.647392
27.71	0.64742
27.7	0.647447
27.69	0.647475
27.68	0.647502
27.67	0.64753
27.66	0.647557
27.65	0.647585
27.64	0.647613
27.63	0.64764
27.62	0.647668
27.61	0.647695
27.6	0.647723
27.59	0.647751
27.58	0.647779
27.57	0.647806
27.56	0.647834
27.55	0.647862
27.54	0.64789
27.53	0.647918
27.52	0.647945
27.51	0.647973
27.5	0.648001
27.49	0.648029
27.48	0.648057
27.47	0.648085
27.46	0.648113
27.45	0.648141
27.44	0.648169
27.43	0.648197
27.42	0.648225
27.41	0.648253
27.4	0.648282
27.39	0.64831
27.38	0.648338
27.37	0.648366
27.36	0.648394
27.35	0.648423
27.34	0.648451
27.33	0.648479
27.32	0.648507
27.31	0.648536
27.3	0.648564
27.29	0.648593
27.28	0.648621
27.27	0.648649
27.26	0.648678
27.25	0.648706
27.24	0.648735
27.23	0.648763
27.22	0.648792
27.21	0.64882
27.2	0.648849
27.19	0.648878
27.18	0.648906
27.17	0.648935
27.16	0.648964
27.15	0.648992
27.14	0.649021
27.13	0.64905
27.12	0.649079
27.11	0.649107
27.1	0.649136
27.09	0.649165
27.08	0.649194
27.07	0.649223
27.06	0.649252
27.05	0.649281
27.04	0.64931
27.03	0.649339
27.02	0.649368
27.01	0.649397
27	0.649426
26.99	0.649455
26.98	0.649484
26.97	0.649513
26.96	0.649542
26.95	0.649572
26.94	0.649601
26.93	0.64963
26.92	0.649659
26.91	0.649689
26.9	0.649718
26.89	0.649747
26.88	0.649777
26.87	0.649806
26.86	0.649835
26.85	0.649865
26.84	0.649894
26.83	0.649924
26.82	0.649953
26.81	0.649983
26.8	0.650012
26.79	0.650042
26.78	0.650071
26.77	0.650101
26.76	0.650131
26.75	0.65016
26.74	0.65019
26.73	0.65022
26.72	0.650249
26.71	0.650279
26.7	0.650309
26.69	0.650339
26.68	0.650369
26.67	0.650399
26.66	0.650428
26.65	0.650458
26.64	0.650488
26.63	0.650518
26.62	0.650548
26.61	0.650578
26.6	0.650608
26.59	0.650638
26.58	0.650668
26.57	0.650699
26.56	0.650729
26.55	0.650759
26.54	0.650789
26.53	0.650819
26.52	0.65085
26.51	0.65088
26.5	0.65091
26.49	0.65094
26.48	0.650971
26.47	0.651001
26.46	0.651031
26.45	0.651062
26.44	0.651092
26.43	0.651123
26.42	0.651153
26.41	0.651184
26.4	0.651214
26.39	0.651245
26.38	0.651276
26.37	0.651306
26.36	0.651337
26.35	0.651368
26.34	0.651398
26.33	0.651429
26.32	0.65146
26.31	0.651491
26.3	0.651521
26.29	0.651552
26.28	0.651583
26.27	0.651614
26.26	0.651645
26.25	0.651676
26.24	0.651707
26.23	0.651738
26.22	0.651769
26.21	0.6518
26.2	0.651831
26.19	0.651862
26.18	0.651893
26.17	0.651924
26.16	0.651955
26.15	0.651986
26.14	0.652018
26.13	0.652049
26.12	0.65208
26.11	0.652112
26.1	0.652143
26.09	0.652174
26.08	0.652206
26.07	0.652237
26.06	0.652268
26.05	0.6523
26.04	0.652331
26.03	0.652363
26.02	0.652395
26.01	0.652426
26	0.652458
25.99	0.652489
25.98	0.652521
25.97	0.652553
25.96	0.652584
25.95	0.652616
25.94	0.652648
25.93	0.65268
25.92	0.652711
25.91	0.652743
25.9	0.652775
25.89	0.652807
25.88	0.652839
25.87	0.652871
25.86	0.652903
25.85	0.652935
25.84	0.652967
25.83	0.652999
25.82	0.653031
25.81	0.653063
25.8	0.653095
25.79	0.653128
25.78	0.65316
25.77	0.653192
25.76	0.653224
25.75	0.653257
25.74	0.653289
25.73	0.653321
25.72	0.653354
25.71	0.653386
25.7	0.653418
25.69	0.653451
25.68	0.653483
25.67	0.653516
25.66	0.653548
25.65	0.653581
25.64	0.653614
25.63	0.653646
25.62	0.653679
25.61	0.653711
25.6	0.653744
25.59	0.653777
25.58	0.65381
25.57	0.653843
25.56	0.653875
25.55	0.653908
25.54	0.653941
25.53	0.653974
25.52	0.654007
25.51	0.65404
25.5	0.654073
25.49	0.654106
25.48	0.654139
25.47	0.654172
25.46	0.654205
25.45	0.654238
25.44	0.654271
25.43	0.654305
25.42	0.654338
25.41	0.654371
25.4	0.654404
25.39	0.654438
25.38	0.654471
25.37	0.654504
25.36	0.654538
25.35	0.654571
25.34	0.654605
25.33	0.654638
25.32	0.654672
25.31	0.654705
25.3	0.654739
25.29	0.654772
25.28	0.654806
25.27	0.65484
25.26	0.654873
25.25	0.654907
25.24	0.654941
25.23	0.654975
25.22	0.655009
25.21	0.655042
25.2	0.655076
25.19	0.65511
25.18	0.655144
25.17	0.655178
25.16	0.655212
25.15	0.655246
25.14	0.65528
25.13	0.655314
25.12	0.655348
25.11	0.655382
25.1	0.655417
25.09	0.655451
25.08	0.655485
25.07	0.655519
25.06	0.655554
25.05	0.655588
25.04	0.655622
25.03	0.655657
25.02	0.655691
25.01	0.655726
25	0.65576
24.99	0.655795
24.98	0.655829
24.97	0.655864
24.96	0.655898
24.95	0.655933
24.94	0.655968
24.93	0.656002
24.92	0.656037
24.91	0.656072
24.9	0.656107
24.89	0.656141
24.88	0.656176
24.87	0.656211
24.86	0.656246
24.85	0.656281
24.84	0.656316
24.83	0.656351
24.82	0.656386
24.81	0.656421
24.8	0.656456
24.79	0.656491
24.78	0.656527
24.77	0.656562
24.76	0.656597
24.75	0.656632
24.74	0.656668
24.73	0.656703
24.72	0.656738
24.71	0.656774
24.7	0.656809
24.69	0.656844
24.68	0.65688
24.67	0.656916
24.66	0.656951
24.65	0.656987
24.64	0.657022
24.63	0.657058
24.62	0.657094
24.61	0.657129
24.6	0.657165
24.59	0.657201
24.58	0.657237
24.57	0.657273
24.56	0.657308
24.55	0.657344
24.54	0.65738
24.53	0.657416
24.52	0.657452
24.51	0.657488
24.5	0.657524
24.49	0.65756
24.48	0.657597
24.47	0.657633
24.46	0.657669
24.45	0.657705
24.44	0.657741
24.43	0.657778
24.42	0.657814
24.41	0.657851
24.4	0.657887
24.39	0.657923
24.38	0.65796
24.37	0.657996
24.36	0.658033
24.35	0.658069
24.34	0.658106
24.33	0.658143
24.32	0.658179
24.31	0.658216
24.3	0.658253
24.29	0.65829
24.28	0.658326
24.27	0.658363
24.26	0.6584
24.25	0.658437
24.24	0.658474
24.23	0.658511
24.22	0.658548
24.21	0.658585
24.2	0.658622
24.19	0.658659
24.18	0.658696
24.17	0.658733
24.16	0.658771
24.15	0.658808
24.14	0.658845
24.13	0.658883
24.12	0.65892
24.11	0.658957
24.1	0.658995
24.09	0.659032
24.08	0.65907
24.07	0.659107
24.06	0.659145
24.05	0.659182
24.04	0.65922
24.03	0.659258
24.02	0.659295
24.01	0.659333
24	0.659371
23.99	0.659409
23.98	0.659447
23.97	0.659485
23.96	0.659522
23.95	0.65956
23.94	0.659598
23.93	0.659636
23.92	0.659674
23.91	0.659713
23.9	0.659751
23.89	0.659789
23.88	0.659827
23.87	0.659865
23.86	0.659904
23.85	0.659942
23.84	0.65998
23.83	0.660019
23.82	0.660057
23.81	0.660096
23.8	0.660134
23.79	0.660173
23.78	0.660211
23.77	0.66025
23.76	0.660288
23.75	0.660327
23.74	0.660366
23.73	0.660404
