x	y
30	0.763427
29.99	0.763458
29.98	0.763489
29.97	0.763521
29.96	0.763552
29.95	0.763583
29.94	0.763615
29.93	0.763646
29.92	0.763677
29.91	0.763709
29.9	0.76374
29.89	0.763772
29.88	0.763803
29.87	0.763835
29.86	0.763866
29.85	0.763898
29.84	0.763929
29.83	0.763961
29.82	0.763993
29.81	0.764024
29.8	0.764056
29.79	0.764088
29.78	0.764119
29.77	0.764151
29.76	0.764183
29.75	0.764215
29.74	0.764246
29.73	0.764278
29.72	0.76431
29.71	0.764342
29.7	0.764374
29.69	0.764406
29.68	0.764438
29.67	0.76447
29.66	0.764502
29.65	0.764534
29.64	0.764566
29.63	0.764598
29.62	0.76463
29.61	0.764662
29.6	0.764694
29.59	0.764726
29.58	0.764758
29.57	0.764791
29.56	0.764823
29.55	0.764855
29.54	0.764887
29.53	0.76492
29.52	0.764952
29.51	0.764984
29.5	0.765017
29.49	0.765049
29.48	0.765082
29.47	0.765114
29.46	0.765147
29.45	0.765179
29.44	0.765212
29.43	0.765244
29.42	0.765277
29.41	0.765309
29.4	0.765342
29.39	0.765375
29.38	0.765407
29.37	0.76544
29.36	0.765473
29.35	0.765505
29.34	0.765538
29.33	0.765571
29.32	0.765604
29.31	0.765637
29.3	0.76567
29.29	0.765702
29.28	0.765735
29.27	0.765768
29.26	0.765801
29.25	0.765834
29.24	0.765867
29.23	0.7659
29.22	0.765933
29.21	0.765966
29.2	0.766
29.19	0.766033
29.18	0.766066
29.17	0.766099
29.16	0.766132
29.15	0.766166
29.14	0.766199
29.13	0.766232
29.12	0.766265
29.11	0.766299
29.1	0.766332
29.09	0.766366
29.08	0.766399
29.07	0.766432
29.06	0.766466
29.05	0.766499
29.04	0.766533
29.03	0.766567
29.02	0.7666
29.01	0.766634
29	0.766667
28.99	0.766701
28.98	0.766735
28.97	0.766768
28.96	0.766802
28.95	0.766836
28.94	0.76687
28.93	0.766903
28.92	0.766937
28.91	0.766971
28.9	0.767005
28.89	0.767039
28.88	0.767073
28.87	0.767107
28.86	0.767141
28.85	0.767175
28.84	0.767209
28.83	0.767243
28.82	0.767277
28.81	0.767311
28.8	0.767345
