x	y
30	0.637715
29.99	0.637738
29.98	0.637761
29.97	0.637784
29.96	0.637807
29.95	0.63783
29.94	0.637852
29.93	0.637875
29.92	0.637898
29.91	0.637921
29.9	0.637944
29.89	0.637967
29.88	0.63799
29.87	0.638013
29.86	0.638036
29.85	0.638059
29.84	0.638082
29.83	0.638106
29.82	0.638129
29.81	0.638152
29.8	0.638175
29.79	0.638198
29.78	0.638221
29.77	0.638244
29.76	0.638268
29.75	0.638291
29.74	0.638314
29.73	0.638337
29.72	0.638361
29.71	0.638384
29.7	0.638407
29.69	0.638431
29.68	0.638454
29.67	0.638477
29.66	0.638501
29.65	0.638524
29.64	0.638547
29.63	0.638571
29.62	0.638594
29.61	0.638618
29.6	0.638641
29.59	0.638665
29.58	0.638688
29.57	0.638712
29.56	0.638735
29.55	0.638759
29.54	0.638783
29.53	0.638806
29.52	0.63883
29.51	0.638853
29.5	0.638877
29.49	0.638901
29.48	0.638924
29.47	0.638948
29.46	0.638972
29.45	0.638996
29.44	0.639019
29.43	0.639043
29.42	0.639067
29.41	0.639091
29.4	0.639114
29.39	0.639138
29.38	0.639162
29.37	0.639186
29.36	0.63921
29.35	0.639234
29.34	0.639258
29.33	0.639282
29.32	0.639306
29.31	0.63933
29.3	0.639354
29.29	0.639378
29.28	0.639402
29.27	0.639426
29.26	0.63945
29.25	0.639474
29.24	0.639498
29.23	0.639522
29.22	0.639547
29.21	0.639571
29.2	0.639595
29.19	0.639619
29.18	0.639643
29.17	0.639668
29.16	0.639692
29.15	0.639716
29.14	0.63974
29.13	0.639765
29.12	0.639789
29.11	0.639813
29.1	0.639838
29.09	0.639862
29.08	0.639887
29.07	0.639911
29.06	0.639936
29.05	0.63996
29.04	0.639984
29.03	0.640009
29.02	0.640034
29.01	0.640058
29	0.640083
28.99	0.640107
28.98	0.640132
28.97	0.640156
28.96	0.640181
28.95	0.640206
28.94	0.64023
28.93	0.640255
28.92	0.64028
28.91	0.640305
28.9	0.640329
28.89	0.640354
28.88	0.640379
28.87	0.640404
28.86	0.640428
28.85	0.640453
28.84	0.640478
28.83	0.640503
28.82	0.640528
28.81	0.640553
28.8	0.640578
28.79	0.640603
28.78	0.640628
28.77	0.640653
28.76	0.640678
28.75	0.640703
28.74	0.640728
28.73	0.640753
28.72	0.640778
28.71	0.640803
28.7	0.640828
28.69	0.640853
28.68	0.640878
