x	y
30	0.818611
29.99	0.818646
29.98	0.818681
29.97	0.818717
29.96	0.818752
29.95	0.818787
29.94	0.818823
29.93	0.818858
29.92	0.818893
29.91	0.818929
29.9	0.818964
29.89	0.819
29.88	0.819035
29.87	0.819071
29.86	0.819106
29.85	0.819142
29.84	0.819177
29.83	0.819213
29.82	0.819248
29.81	0.819284
29.8	0.81932
29.79	0.819356
29.78	0.819391
29.77	0.819427
29.76	0.819463
29.75	0.819499
29.74	0.819535
29.73	0.81957
29.72	0.819606
29.71	0.819642
29.7	0.819678
29.69	0.819714
29.68	0.81975
29.67	0.819786
29.66	0.819822
29.65	0.819858
29.64	0.819895
29.63	0.819931
29.62	0.819967
29.61	0.820003
29.6	0.820039
29.59	0.820076
29.58	0.820112
29.57	0.820148
29.56	0.820185
29.55	0.820221
29.54	0.820257
29.53	0.820294
29.52	0.82033
29.51	0.820367
29.5	0.820403
29.49	0.82044
29.48	0.820476
29.47	0.820513
29.46	0.820549
29.45	0.820586
29.44	0.820623
29.43	0.820659
29.42	0.820696
29.41	0.820733
29.4	0.82077
29.39	0.820807
29.38	0.820843
29.37	0.82088
29.36	0.820917
29.35	0.820954
29.34	0.820991
29.33	0.821028
29.32	0.821065
29.31	0.821102
29.3	0.821139
29.29	0.821176
29.28	0.821213
29.27	0.82125
29.26	0.821288
29.25	0.821325
29.24	0.821362
29.23	0.821399
29.22	0.821437
29.21	0.821474
29.2	0.821511
29.19	0.821549
29.18	0.821586
29.17	0.821623
29.16	0.821661
29.15	0.821698
29.14	0.821736
29.13	0.821773
29.12	0.821811
29.11	0.821849
29.1	0.821886
29.09	0.821924
29.08	0.821962
29.07	0.821999
29.06	0.822037
29.05	0.822075
29.04	0.822113
29.03	0.82215
29.02	0.822188
29.01	0.822226
29	0.822264
28.99	0.822302
28.98	0.82234
28.97	0.822378
28.96	0.822416
28.95	0.822454
28.94	0.822492
28.93	0.82253
28.92	0.822569
28.91	0.822607
28.9	0.822645
28.89	0.822683
28.88	0.822721
28.87	0.82276
28.86	0.822798
28.85	0.822836
28.84	0.822875
28.83	0.822913
28.82	0.822952
28.81	0.82299
28.8	0.823029
28.79	0.823067
28.78	0.823106
28.77	0.823144
28.76	0.823183
28.75	0.823222
28.74	0.82326
28.73	0.823299
28.72	0.823338
28.71	0.823377
28.7	0.823415
28.69	0.823454
28.68	0.823493
28.67	0.823532
28.66	0.823571
28.65	0.82361
28.64	0.823649
