x	y
30	0.690732
29.99	0.690758
29.98	0.690784
29.97	0.69081
29.96	0.690837
29.95	0.690863
29.94	0.690889
29.93	0.690916
29.92	0.690942
29.91	0.690968
29.9	0.690995
29.89	0.691021
29.88	0.691048
29.87	0.691074
29.86	0.691101
29.85	0.691127
29.84	0.691154
29.83	0.69118
29.82	0.691207
29.81	0.691234
29.8	0.69126
29.79	0.691287
29.78	0.691313
29.77	0.69134
29.76	0.691367
29.75	0.691394
29.74	0.69142
29.73	0.691447
29.72	0.691474
29.71	0.691501
29.7	0.691527
29.69	0.691554
29.68	0.691581
29.67	0.691608
29.66	0.691635
29.65	0.691662
29.64	0.691689
29.63	0.691716
29.62	0.691743
29.61	0.69177
29.6	0.691797
29.59	0.691824
29.58	0.691851
29.57	0.691878
29.56	0.691905
29.55	0.691932
29.54	0.691959
29.53	0.691986
29.52	0.692014
29.51	0.692041
29.5	0.692068
29.49	0.692095
29.48	0.692122
29.47	0.69215
29.46	0.692177
29.45	0.692204
29.44	0.692232
29.43	0.692259
29.42	0.692286
29.41	0.692314
29.4	0.692341
29.39	0.692369
29.38	0.692396
29.37	0.692424
29.36	0.692451
29.35	0.692479
29.34	0.692506
29.33	0.692534
29.32	0.692561
29.31	0.692589
29.3	0.692617
29.29	0.692644
29.28	0.692672
29.27	0.692699
29.26	0.692727
29.25	0.692755
29.24	0.692783
29.23	0.69281
29.22	0.692838
29.21	0.692866
29.2	0.692894
29.19	0.692922
29.18	0.69295
29.17	0.692978
29.16	0.693006
29.15	0.693033
29.14	0.693061
29.13	0.693089
29.12	0.693117
29.11	0.693145
29.1	0.693173
29.09	0.693201
29.08	0.69323
29.07	0.693258
29.06	0.693286
29.05	0.693314
29.04	0.693342
29.03	0.69337
29.02	0.693399
29.01	0.693427
29	0.693455
28.99	0.693483
28.98	0.693512
28.97	0.69354
28.96	0.693568
28.95	0.693597
28.94	0.693625
28.93	0.693654
28.92	0.693682
28.91	0.69371
28.9	0.693739
28.89	0.693767
28.88	0.693796
28.87	0.693824
28.86	0.693853
28.85	0.693882
28.84	0.69391
28.83	0.693939
28.82	0.693967
28.81	0.693996
28.8	0.694025
28.79	0.694054
28.78	0.694082
28.77	0.694111
28.76	0.69414
28.75	0.694169
28.74	0.694197
28.73	0.694226
28.72	0.694255
28.71	0.694284
28.7	0.694313
28.69	0.694342
28.68	0.694371
28.67	0.6944
28.66	0.694429
28.65	0.694458
28.64	0.694487
28.63	0.694516
28.62	0.694545
28.61	0.694574
28.6	0.694603
28.59	0.694633
28.58	0.694662
28.57	0.694691
28.56	0.69472
28.55	0.694749
28.54	0.694779
28.53	0.694808
28.52	0.694837
28.51	0.694867
28.5	0.694896
28.49	0.694925
28.48	0.694955
28.47	0.694984
28.46	0.695014
28.45	0.695043
28.44	0.695073
28.43	0.695102
28.42	0.695132
28.41	0.695161
28.4	0.695191
28.39	0.695221
28.38	0.69525
28.37	0.69528
28.36	0.69531
28.35	0.695339
28.34	0.695369
28.33	0.695399
28.32	0.695429
28.31	0.695458
28.3	0.695488
28.29	0.695518
28.28	0.695548
28.27	0.695578
28.26	0.695608
28.25	0.695638
28.24	0.695668
28.23	0.695698
28.22	0.695728
28.21	0.695758
28.2	0.695788
28.19	0.695818
28.18	0.695848
28.17	0.695878
28.16	0.695908
28.15	0.695938
28.14	0.695969
28.13	0.695999
28.12	0.696029
28.11	0.696059
28.1	0.69609
28.09	0.69612
28.08	0.69615
28.07	0.696181
28.06	0.696211
28.05	0.696242
28.04	0.696272
28.03	0.696302
28.02	0.696333
28.01	0.696363
28	0.696394
27.99	0.696425
27.98	0.696455
27.97	0.696486
27.96	0.696516
27.95	0.696547
27.94	0.696578
27.93	0.696608
27.92	0.696639
27.91	0.69667
27.9	0.696701
27.89	0.696732
27.88	0.696762
27.87	0.696793
27.86	0.696824
27.85	0.696855
27.84	0.696886
27.83	0.696917
27.82	0.696948
27.81	0.696979
27.8	0.69701
27.79	0.697041
27.78	0.697072
27.77	0.697103
27.76	0.697134
27.75	0.697165
27.74	0.697197
27.73	0.697228
27.72	0.697259
27.71	0.69729
27.7	0.697322
27.69	0.697353
27.68	0.697384
27.67	0.697416
27.66	0.697447
27.65	0.697478
27.64	0.69751
27.63	0.697541
27.62	0.697573
27.61	0.697604
27.6	0.697636
27.59	0.697667
27.58	0.697699
27.57	0.69773
27.56	0.697762
27.55	0.697794
27.54	0.697825
27.53	0.697857
27.52	0.697889
27.51	0.697921
