x	y
30	0.855491
29.99	0.855528
29.98	0.855566
29.97	0.855604
29.96	0.855642
29.95	0.85568
29.94	0.855719
29.93	0.855757
29.92	0.855795
29.91	0.855833
29.9	0.855871
29.89	0.855909
29.88	0.855948
29.87	0.855986
29.86	0.856024
29.85	0.856063
29.84	0.856101
29.83	0.856139
29.82	0.856178
29.81	0.856216
29.8	0.856255
29.79	0.856293
29.78	0.856332
29.77	0.85637
29.76	0.856409
29.75	0.856447
29.74	0.856486
29.73	0.856525
29.72	0.856564
29.71	0.856602
29.7	0.856641
29.69	0.85668
29.68	0.856719
29.67	0.856757
29.66	0.856796
29.65	0.856835
29.64	0.856874
29.63	0.856913
29.62	0.856952
29.61	0.856991
29.6	0.85703
29.59	0.857069
29.58	0.857108
29.57	0.857148
29.56	0.857187
29.55	0.857226
29.54	0.857265
29.53	0.857305
29.52	0.857344
29.51	0.857383
29.5	0.857422
29.49	0.857462
29.48	0.857501
29.47	0.857541
29.46	0.85758
29.45	0.85762
29.44	0.857659
29.43	0.857699
29.42	0.857738
29.41	0.857778
29.4	0.857818
29.39	0.857857
29.38	0.857897
29.37	0.857937
29.36	0.857977
29.35	0.858016
29.34	0.858056
29.33	0.858096
29.32	0.858136
29.31	0.858176
29.3	0.858216
29.29	0.858256
29.28	0.858296
29.27	0.858336
29.26	0.858376
29.25	0.858416
29.24	0.858456
29.23	0.858496
29.22	0.858537
29.21	0.858577
29.2	0.858617
29.19	0.858657
29.18	0.858698
29.17	0.858738
29.16	0.858778
29.15	0.858819
29.14	0.858859
29.13	0.8589
29.12	0.85894
29.11	0.858981
29.1	0.859021
29.09	0.859062
29.08	0.859103
29.07	0.859143
29.06	0.859184
29.05	0.859225
29.04	0.859266
29.03	0.859306
29.02	0.859347
29.01	0.859388
29	0.859429
28.99	0.85947
28.98	0.859511
28.97	0.859552
28.96	0.859593
28.95	0.859634
28.94	0.859675
28.93	0.859716
28.92	0.859757
28.91	0.859798
28.9	0.859839
28.89	0.859881
28.88	0.859922
28.87	0.859963
28.86	0.860005
28.85	0.860046
28.84	0.860087
28.83	0.860129
28.82	0.86017
28.81	0.860212
28.8	0.860253
28.79	0.860295
28.78	0.860336
28.77	0.860378
28.76	0.86042
28.75	0.860461
28.74	0.860503
28.73	0.860545
28.72	0.860587
28.71	0.860628
28.7	0.86067
28.69	0.860712
28.68	0.860754
28.67	0.860796
28.66	0.860838
28.65	0.86088
28.64	0.860922
28.63	0.860964
28.62	0.861006
28.61	0.861048
28.6	0.86109
28.59	0.861133
28.58	0.861175
28.57	0.861217
28.56	0.86126
28.55	0.861302
28.54	0.861344
28.53	0.861387
28.52	0.861429
28.51	0.861472
28.5	0.861514
28.49	0.861557
28.48	0.861599
28.47	0.861642
28.46	0.861684
28.45	0.861727
28.44	0.86177
28.43	0.861813
28.42	0.861855
28.41	0.861898
28.4	0.861941
28.39	0.861984
28.38	0.862027
28.37	0.86207
28.36	0.862113
28.35	0.862156
28.34	0.862199
28.33	0.862242
28.32	0.862285
28.31	0.862328
28.3	0.862371
28.29	0.862414
28.28	0.862458
28.27	0.862501
28.26	0.862544
28.25	0.862588
28.24	0.862631
28.23	0.862674
28.22	0.862718
28.21	0.862761
28.2	0.862805
28.19	0.862849
28.18	0.862892
28.17	0.862936
28.16	0.862979
28.15	0.863023
28.14	0.863067
28.13	0.863111
28.12	0.863154
28.11	0.863198
28.1	0.863242
28.09	0.863286
28.08	0.86333
28.07	0.863374
28.06	0.863418
28.05	0.863462
28.04	0.863506
28.03	0.86355
28.02	0.863594
28.01	0.863639
28	0.863683
27.99	0.863727
27.98	0.863771
27.97	0.863816
27.96	0.86386
27.95	0.863904
27.94	0.863949
27.93	0.863993
27.92	0.864038
27.91	0.864082
27.9	0.864127
27.89	0.864172
27.88	0.864216
27.87	0.864261
27.86	0.864306
27.85	0.86435
27.84	0.864395
27.83	0.86444
27.82	0.864485
27.81	0.86453
27.8	0.864575
27.79	0.86462
27.78	0.864665
27.77	0.86471
27.76	0.864755
27.75	0.8648
27.74	0.864845
27.73	0.86489
27.72	0.864936
27.71	0.864981
27.7	0.865026
27.69	0.865072
27.68	0.865117
27.67	0.865162
27.66	0.865208
27.65	0.865253
27.64	0.865299
27.63	0.865344
27.62	0.86539
27.61	0.865436
27.6	0.865481
27.59	0.865527
27.58	0.865573
27.57	0.865619
27.56	0.865664
27.55	0.86571
27.54	0.865756
27.53	0.865802
27.52	0.865848
27.51	0.865894
27.5	0.86594
27.49	0.865986
27.48	0.866032
27.47	0.866079
27.46	0.866125
27.45	0.866171
27.44	0.866217
27.43	0.866264
27.42	0.86631
27.41	0.866356
27.4	0.866403
27.39	0.866449
27.38	0.866496
27.37	0.866542
27.36	0.866589
27.35	0.866636
27.34	0.866682
27.33	0.866729
27.32	0.866776
27.31	0.866822
27.3	0.866869
27.29	0.866916
27.28	0.866963
27.27	0.86701
27.26	0.867057
27.25	0.867104
27.24	0.867151
27.23	0.867198
27.22	0.867245
27.21	0.867292
27.2	0.867339
27.19	0.867387
27.18	0.867434
27.17	0.867481
27.16	0.867529
27.15	0.867576
27.14	0.867624
27.13	0.867671
27.12	0.867718
27.11	0.867766
27.1	0.867814
27.09	0.867861
27.08	0.867909
27.07	0.867957
27.06	0.868004
27.05	0.868052
27.04	0.8681
27.03	0.868148
27.02	0.868196
27.01	0.868244
27	0.868292
26.99	0.86834
26.98	0.868388
26.97	0.868436
26.96	0.868484
26.95	0.868532
26.94	0.868581
26.93	0.868629
26.92	0.868677
26.91	0.868726
26.9	0.868774
26.89	0.868822
26.88	0.868871
26.87	0.868919
26.86	0.868968
26.85	0.869017
26.84	0.869065
26.83	0.869114
26.82	0.869163
26.81	0.869211
26.8	0.86926
26.79	0.869309
26.78	0.869358
26.77	0.869407
26.76	0.869456
26.75	0.869505
26.74	0.869554
26.73	0.869603
26.72	0.869652
26.71	0.869701
26.7	0.86975
26.69	0.8698
26.68	0.869849
26.67	0.869898
26.66	0.869948
26.65	0.869997
26.64	0.870047
26.63	0.870096
26.62	0.870146
26.61	0.870195
26.6	0.870245
26.59	0.870295
26.58	0.870344
26.57	0.870394
26.56	0.870444
26.55	0.870494
26.54	0.870544
26.53	0.870594
26.52	0.870643
26.51	0.870694
26.5	0.870744
26.49	0.870794
26.48	0.870844
26.47	0.870894
26.46	0.870944
26.45	0.870995
26.44	0.871045
26.43	0.871095
26.42	0.871146
26.41	0.871196
26.4	0.871247
26.39	0.871297
26.38	0.871348
26.37	0.871398
26.36	0.871449
26.35	0.8715
26.34	0.87155
26.33	0.871601
26.32	0.871652
26.31	0.871703
26.3	0.871754
26.29	0.871805
26.28	0.871856
26.27	0.871907
26.26	0.871958
26.25	0.872009
26.24	0.87206
26.23	0.872111
26.22	0.872163
26.21	0.872214
26.2	0.872265
26.19	0.872317
26.18	0.872368
26.17	0.87242
26.16	0.872471
26.15	0.872523
26.14	0.872575
26.13	0.872626
26.12	0.872678
26.11	0.87273
26.1	0.872782
26.09	0.872833
26.08	0.872885
26.07	0.872937
26.06	0.872989
26.05	0.873041
26.04	0.873093
26.03	0.873146
26.02	0.873198
26.01	0.87325
26	0.873302
25.99	0.873354
25.98	0.873407
25.97	0.873459
25.96	0.873512
25.95	0.873564
25.94	0.873617
25.93	0.873669
25.92	0.873722
25.91	0.873775
25.9	0.873827
25.89	0.87388
25.88	0.873933
25.87	0.873986
25.86	0.874039
25.85	0.874092
25.84	0.874145
25.83	0.874198
25.82	0.874251
25.81	0.874304
25.8	0.874357
25.79	0.87441
25.78	0.874464
25.77	0.874517
25.76	0.87457
25.75	0.874624
25.74	0.874677
25.73	0.874731
25.72	0.874784
25.71	0.874838
25.7	0.874891
25.69	0.874945
25.68	0.874999
25.67	0.875053
25.66	0.875107
25.65	0.87516
25.64	0.875214
25.63	0.875268
25.62	0.875322
25.61	0.875377
25.6	0.875431
25.59	0.875485
25.58	0.875539
25.57	0.875593
25.56	0.875648
25.55	0.875702
25.54	0.875756
25.53	0.875811
25.52	0.875865
25.51	0.87592
25.5	0.875975
25.49	0.876029
25.48	0.876084
25.47	0.876139
25.46	0.876194
25.45	0.876248
25.44	0.876303
25.43	0.876358
25.42	0.876413
25.41	0.876468
25.4	0.876523
25.39	0.876579
25.38	0.876634
25.37	0.876689
25.36	0.876744
25.35	0.8768
25.34	0.876855
25.33	0.876911
25.32	0.876966
25.31	0.877022
25.3	0.877077
25.29	0.877133
25.28	0.877189
25.27	0.877244
25.26	0.8773
25.25	0.877356
25.24	0.877412
25.23	0.877468
25.22	0.877524
25.21	0.87758
25.2	0.877636
25.19	0.877692
25.18	0.877748
25.17	0.877805
25.16	0.877861
25.15	0.877917
25.14	0.877974
25.13	0.87803
25.12	0.878087
25.11	0.878143
25.1	0.8782
25.09	0.878256
25.08	0.878313
25.07	0.87837
25.06	0.878427
25.05	0.878484
25.04	0.87854
25.03	0.878597
25.02	0.878654
25.01	0.878712
25	0.878769
24.99	0.878826
24.98	0.878883
24.97	0.87894
24.96	0.878998
24.95	0.879055
24.94	0.879113
24.93	0.87917
24.92	0.879228
24.91	0.879285
24.9	0.879343
24.89	0.8794
24.88	0.879458
24.87	0.879516
24.86	0.879574
24.85	0.879632
24.84	0.87969
24.83	0.879748
24.82	0.879806
24.81	0.879864
24.8	0.879922
24.79	0.87998
24.78	0.880039
24.77	0.880097
24.76	0.880156
24.75	0.880214
24.74	0.880272
24.73	0.880331
24.72	0.88039
24.71	0.880448
24.7	0.880507
24.69	0.880566
24.68	0.880625
24.67	0.880683
24.66	0.880742
24.65	0.880801
24.64	0.88086
24.63	0.88092
24.62	0.880979
24.61	0.881038
24.6	0.881097
24.59	0.881157
24.58	0.881216
24.57	0.881275
24.56	0.881335
24.55	0.881394
24.54	0.881454
24.53	0.881514
24.52	0.881573
24.51	0.881633
24.5	0.881693
24.49	0.881753
24.48	0.881813
24.47	0.881873
24.46	0.881933
24.45	0.881993
24.44	0.882053
24.43	0.882113
24.42	0.882173
24.41	0.882234
24.4	0.882294
24.39	0.882355
24.38	0.882415
24.37	0.882476
24.36	0.882536
24.35	0.882597
24.34	0.882658
24.33	0.882718
24.32	0.882779
24.31	0.88284
24.3	0.882901
24.29	0.882962
24.28	0.883023
24.27	0.883084
24.26	0.883145
24.25	0.883207
24.24	0.883268
24.23	0.883329
24.22	0.883391
24.21	0.883452
24.2	0.883514
24.19	0.883575
24.18	0.883637
24.17	0.883699
24.16	0.88376
24.15	0.883822
24.14	0.883884
24.13	0.883946
24.12	0.884008
24.11	0.88407
24.1	0.884132
24.09	0.884194
24.08	0.884256
24.07	0.884319
24.06	0.884381
24.05	0.884444
24.04	0.884506
24.03	0.884569
24.02	0.884631
24.01	0.884694
24	0.884756
23.99	0.884819
23.98	0.884882
23.97	0.884945
23.96	0.885008
23.95	0.885071
23.94	0.885134
23.93	0.885197
23.92	0.88526
23.91	0.885323
23.9	0.885387
23.89	0.88545
23.88	0.885514
23.87	0.885577
23.86	0.885641
23.85	0.885704
23.84	0.885768
23.83	0.885832
23.82	0.885895
23.81	0.885959
23.8	0.886023
23.79	0.886087
23.78	0.886151
23.77	0.886215
23.76	0.886279
23.75	0.886344
23.74	0.886408
23.73	0.886472
23.72	0.886537
23.71	0.886601
23.7	0.886666
23.69	0.88673
23.68	0.886795
23.67	0.88686
23.66	0.886924
23.65	0.886989
23.64	0.887054
23.63	0.887119
23.62	0.887184
23.61	0.887249
23.6	0.887314
23.59	0.88738
23.58	0.887445
23.57	0.88751
23.56	0.887576
23.55	0.887641
23.54	0.887707
23.53	0.887772
23.52	0.887838
23.51	0.887904
23.5	0.88797
23.49	0.888035
23.48	0.888101
23.47	0.888167
23.46	0.888233
23.45	0.8883
23.44	0.888366
23.43	0.888432
23.42	0.888498
23.41	0.888565
23.4	0.888631
23.39	0.888698
23.38	0.888764
23.37	0.888831
23.36	0.888898
23.35	0.888964
23.34	0.889031
23.33	0.889098
23.32	0.889165
23.31	0.889232
23.3	0.889299
23.29	0.889366
23.28	0.889434
23.27	0.889501
23.26	0.889568
23.25	0.889636
23.24	0.889703
23.23	0.889771
23.22	0.889838
23.21	0.889906
23.2	0.889974
23.19	0.890042
23.18	0.89011
23.17	0.890178
23.16	0.890246
23.15	0.890314
23.14	0.890382
23.13	0.89045
23.12	0.890519
23.11	0.890587
23.1	0.890655
23.09	0.890724
23.08	0.890792
23.07	0.890861
23.06	0.89093
23.05	0.890999
23.04	0.891068
23.03	0.891136
23.02	0.891205
23.01	0.891274
23	0.891344
22.99	0.891413
22.98	0.891482
22.97	0.891551
22.96	0.891621
22.95	0.89169
22.94	0.89176
22.93	0.891829
22.92	0.891899
22.91	0.891969
22.9	0.892039
22.89	0.892109
22.88	0.892179
22.87	0.892249
