x	y
30	1.50646
29.99	1.50656
29.98	1.50665
29.97	1.50675
29.96	1.50685
29.95	1.50695
29.94	1.50704
29.93	1.50714
29.92	1.50724
29.91	1.50733
29.9	1.50743
29.89	1.50753
29.88	1.50763
29.87	1.50772
29.86	1.50782
29.85	1.50792
29.84	1.50802
29.83	1.50811
29.82	1.50821
29.81	1.50831
29.8	1.50841
29.79	1.50851
29.78	1.50861
29.77	1.5087
29.76	1.5088
29.75	1.5089
29.74	1.509
29.73	1.5091
29.72	1.5092
29.71	1.5093
29.7	1.50939
29.69	1.50949
29.68	1.50959
29.67	1.50969
29.66	1.50979
29.65	1.50989
29.64	1.50999
29.63	1.51009
29.62	1.51019
29.61	1.51029
29.6	1.51039
29.59	1.51049
29.58	1.51059
29.57	1.51069
29.56	1.51079
29.55	1.51089
29.54	1.51099
29.53	1.51109
29.52	1.51119
29.51	1.51129
29.5	1.51139
29.49	1.51149
29.48	1.51159
29.47	1.51169
29.46	1.51179
29.45	1.51189
29.44	1.51199
29.43	1.51209
29.42	1.5122
29.41	1.5123
29.4	1.5124
29.39	1.5125
29.38	1.5126
29.37	1.5127
29.36	1.5128
29.35	1.51291
29.34	1.51301
29.33	1.51311
29.32	1.51321
29.31	1.51331
29.3	1.51342
29.29	1.51352
29.28	1.51362
29.27	1.51372
29.26	1.51382
29.25	1.51393
29.24	1.51403
29.23	1.51413
29.22	1.51423
29.21	1.51434
29.2	1.51444
29.19	1.51454
29.18	1.51465
29.17	1.51475
29.16	1.51485
29.15	1.51496
29.14	1.51506
29.13	1.51516
29.12	1.51527
29.11	1.51537
29.1	1.51547
29.09	1.51558
29.08	1.51568
29.07	1.51579
29.06	1.51589
29.05	1.51599
29.04	1.5161
29.03	1.5162
29.02	1.51631
29.01	1.51641
29	1.51652
28.99	1.51662
28.98	1.51672
28.97	1.51683
28.96	1.51693
28.95	1.51704
28.94	1.51714
28.93	1.51725
28.92	1.51735
28.91	1.51746
28.9	1.51757
28.89	1.51767
28.88	1.51778
28.87	1.51788
28.86	1.51799
28.85	1.51809
28.84	1.5182
28.83	1.51831
28.82	1.51841
28.81	1.51852
28.8	1.51862
28.79	1.51873
28.78	1.51884
28.77	1.51894
28.76	1.51905
28.75	1.51916
28.74	1.51926
28.73	1.51937
28.72	1.51948
28.71	1.51958
28.7	1.51969
28.69	1.5198
28.68	1.51991
28.67	1.52001
28.66	1.52012
28.65	1.52023
28.64	1.52034
28.63	1.52044
28.62	1.52055
28.61	1.52066
28.6	1.52077
28.59	1.52088
28.58	1.52098
28.57	1.52109
28.56	1.5212
28.55	1.52131
28.54	1.52142
28.53	1.52153
28.52	1.52163
28.51	1.52174
28.5	1.52185
28.49	1.52196
28.48	1.52207
28.47	1.52218
28.46	1.52229
28.45	1.5224
28.44	1.52251
28.43	1.52262
28.42	1.52273
28.41	1.52284
28.4	1.52295
28.39	1.52305
28.38	1.52316
28.37	1.52328
28.36	1.52339
28.35	1.5235
28.34	1.52361
28.33	1.52372
28.32	1.52383
28.31	1.52394
28.3	1.52405
28.29	1.52416
28.28	1.52427
28.27	1.52438
28.26	1.52449
28.25	1.5246
28.24	1.52471
28.23	1.52482
28.22	1.52494
28.21	1.52505
28.2	1.52516
28.19	1.52527
28.18	1.52538
28.17	1.52549
28.16	1.52561
28.15	1.52572
28.14	1.52583
28.13	1.52594
28.12	1.52606
28.11	1.52617
28.1	1.52628
28.09	1.52639
28.08	1.52651
28.07	1.52662
28.06	1.52673
28.05	1.52684
28.04	1.52696
28.03	1.52707
28.02	1.52718
28.01	1.5273
28	1.52741
27.99	1.52752
27.98	1.52764
27.97	1.52775
27.96	1.52787
27.95	1.52798
27.94	1.52809
27.93	1.52821
27.92	1.52832
27.91	1.52844
27.9	1.52855
27.89	1.52866
27.88	1.52878
27.87	1.52889
27.86	1.52901
27.85	1.52912
27.84	1.52924
27.83	1.52935
27.82	1.52947
27.81	1.52958
27.8	1.5297
27.79	1.52982
27.78	1.52993
27.77	1.53005
27.76	1.53016
27.75	1.53028
27.74	1.53039
27.73	1.53051
27.72	1.53063
27.71	1.53074
27.7	1.53086
27.69	1.53098
27.68	1.53109
27.67	1.53121
27.66	1.53133
27.65	1.53144
27.64	1.53156
27.63	1.53168
27.62	1.53179
27.61	1.53191
27.6	1.53203
27.59	1.53215
27.58	1.53226
27.57	1.53238
27.56	1.5325
27.55	1.53262
27.54	1.53273
27.53	1.53285
27.52	1.53297
27.51	1.53309
27.5	1.53321
27.49	1.53333
27.48	1.53344
27.47	1.53356
27.46	1.53368
27.45	1.5338
27.44	1.53392
27.43	1.53404
27.42	1.53416
27.41	1.53428
27.4	1.5344
27.39	1.53452
27.38	1.53463
27.37	1.53475
27.36	1.53487
27.35	1.53499
27.34	1.53511
27.33	1.53523
27.32	1.53535
27.31	1.53547
27.3	1.53559
27.29	1.53572
27.28	1.53584
27.27	1.53596
27.26	1.53608
27.25	1.5362
27.24	1.53632
27.23	1.53644
27.22	1.53656
27.21	1.53668
27.2	1.5368
27.19	1.53693
27.18	1.53705
27.17	1.53717
27.16	1.53729
27.15	1.53741
27.14	1.53754
27.13	1.53766
27.12	1.53778
27.11	1.5379
27.1	1.53802
27.09	1.53815
27.08	1.53827
27.07	1.53839
27.06	1.53852
27.05	1.53864
27.04	1.53876
27.03	1.53888
27.02	1.53901
27.01	1.53913
27	1.53926
26.99	1.53938
26.98	1.5395
26.97	1.53963
26.96	1.53975
26.95	1.53987
26.94	1.54
26.93	1.54012
26.92	1.54025
26.91	1.54037
26.9	1.5405
26.89	1.54062
26.88	1.54075
26.87	1.54087
26.86	1.541
26.85	1.54112
26.84	1.54125
26.83	1.54137
26.82	1.5415
26.81	1.54162
26.8	1.54175
26.79	1.54188
26.78	1.542
26.77	1.54213
26.76	1.54225
26.75	1.54238
26.74	1.54251
26.73	1.54263
26.72	1.54276
26.71	1.54289
26.7	1.54301
26.69	1.54314
26.68	1.54327
26.67	1.54339
26.66	1.54352
26.65	1.54365
26.64	1.54378
26.63	1.5439
26.62	1.54403
26.61	1.54416
26.6	1.54429
26.59	1.54442
26.58	1.54454
26.57	1.54467
26.56	1.5448
26.55	1.54493
26.54	1.54506
26.53	1.54519
26.52	1.54532
26.51	1.54544
26.5	1.54557
26.49	1.5457
26.48	1.54583
26.47	1.54596
26.46	1.54609
26.45	1.54622
26.44	1.54635
26.43	1.54648
26.42	1.54661
26.41	1.54674
26.4	1.54687
26.39	1.547
26.38	1.54713
26.37	1.54726
26.36	1.54739
26.35	1.54752
26.34	1.54766
26.33	1.54779
26.32	1.54792
26.31	1.54805
26.3	1.54818
26.29	1.54831
26.28	1.54844
26.27	1.54858
26.26	1.54871
26.25	1.54884
26.24	1.54897
26.23	1.5491
26.22	1.54924
26.21	1.54937
26.2	1.5495
26.19	1.54963
26.18	1.54977
26.17	1.5499
26.16	1.55003
26.15	1.55017
26.14	1.5503
26.13	1.55043
26.12	1.55057
26.11	1.5507
26.1	1.55083
26.09	1.55097
26.08	1.5511
26.07	1.55124
26.06	1.55137
26.05	1.55151
26.04	1.55164
26.03	1.55177
26.02	1.55191
26.01	1.55204
26	1.55218
25.99	1.55231
25.98	1.55245
25.97	1.55259
25.96	1.55272
25.95	1.55286
25.94	1.55299
25.93	1.55313
25.92	1.55326
25.91	1.5534
25.9	1.55354
25.89	1.55367
25.88	1.55381
25.87	1.55395
25.86	1.55408
25.85	1.55422
25.84	1.55436
25.83	1.55449
25.82	1.55463
25.81	1.55477
25.8	1.55491
25.79	1.55504
25.78	1.55518
25.77	1.55532
25.76	1.55546
25.75	1.5556
25.74	1.55573
25.73	1.55587
25.72	1.55601
25.71	1.55615
25.7	1.55629
25.69	1.55643
25.68	1.55657
25.67	1.55671
25.66	1.55685
25.65	1.55699
25.64	1.55713
25.63	1.55727
25.62	1.5574
25.61	1.55754
25.6	1.55769
25.59	1.55783
25.58	1.55797
25.57	1.55811
25.56	1.55825
25.55	1.55839
25.54	1.55853
25.53	1.55867
25.52	1.55881
25.51	1.55895
25.5	1.55909
25.49	1.55924
25.48	1.55938
25.47	1.55952
25.46	1.55966
25.45	1.5598
25.44	1.55994
25.43	1.56009
25.42	1.56023
25.41	1.56037
25.4	1.56052
25.39	1.56066
25.38	1.5608
25.37	1.56094
25.36	1.56109
25.35	1.56123
25.34	1.56137
25.33	1.56152
25.32	1.56166
25.31	1.56181
25.3	1.56195
25.29	1.56209
25.28	1.56224
25.27	1.56238
25.26	1.56253
25.25	1.56267
25.24	1.56282
25.23	1.56296
25.22	1.56311
25.21	1.56325
25.2	1.5634
25.19	1.56354
25.18	1.56369
25.17	1.56384
25.16	1.56398
25.15	1.56413
25.14	1.56427
25.13	1.56442
25.12	1.56457
25.11	1.56471
25.1	1.56486
25.09	1.56501
25.08	1.56516
25.07	1.5653
25.06	1.56545
25.05	1.5656
25.04	1.56575
25.03	1.56589
25.02	1.56604
25.01	1.56619
25	1.56634
24.99	1.56649
24.98	1.56663
24.97	1.56678
24.96	1.56693
24.95	1.56708
24.94	1.56723
24.93	1.56738
24.92	1.56753
24.91	1.56768
24.9	1.56783
24.89	1.56798
24.88	1.56813
24.87	1.56828
24.86	1.56843
24.85	1.56858
24.84	1.56873
24.83	1.56888
24.82	1.56903
24.81	1.56918
24.8	1.56933
24.79	1.56948
24.78	1.56964
24.77	1.56979
24.76	1.56994
24.75	1.57009
24.74	1.57024
24.73	1.57039
24.72	1.57055
24.71	1.5707
24.7	1.57085
24.69	1.571
24.68	1.57116
24.67	1.57131
24.66	1.57146
24.65	1.57162
24.64	1.57177
24.63	1.57192
24.62	1.57208
24.61	1.57223
24.6	1.57239
24.59	1.57254
24.58	1.57269
24.57	1.57285
24.56	1.573
24.55	1.57316
24.54	1.57331
24.53	1.57347
24.52	1.57362
24.51	1.57378
24.5	1.57394
24.49	1.57409
24.48	1.57425
24.47	1.5744
24.46	1.57456
24.45	1.57472
24.44	1.57487
24.43	1.57503
24.42	1.57519
24.41	1.57534
24.4	1.5755
24.39	1.57566
24.38	1.57581
24.37	1.57597
24.36	1.57613
24.35	1.57629
24.34	1.57645
24.33	1.5766
24.32	1.57676
24.31	1.57692
24.3	1.57708
24.29	1.57724
24.28	1.5774
24.27	1.57756
24.26	1.57772
24.25	1.57788
24.24	1.57804
24.23	1.57819
24.22	1.57835
24.21	1.57851
24.2	1.57868
24.19	1.57884
24.18	1.579
24.17	1.57916
24.16	1.57932
24.15	1.57948
24.14	1.57964
24.13	1.5798
24.12	1.57996
24.11	1.58012
24.1	1.58029
24.09	1.58045
24.08	1.58061
24.07	1.58077
24.06	1.58094
24.05	1.5811
24.04	1.58126
24.03	1.58142
24.02	1.58159
24.01	1.58175
24	1.58191
23.99	1.58208
23.98	1.58224
23.97	1.58241
23.96	1.58257
23.95	1.58273
23.94	1.5829
23.93	1.58306
23.92	1.58323
23.91	1.58339
23.9	1.58356
23.89	1.58372
23.88	1.58389
23.87	1.58405
23.86	1.58422
23.85	1.58439
23.84	1.58455
23.83	1.58472
23.82	1.58489
23.81	1.58505
23.8	1.58522
23.79	1.58539
23.78	1.58555
23.77	1.58572
23.76	1.58589
23.75	1.58606
23.74	1.58622
23.73	1.58639
23.72	1.58656
23.71	1.58673
23.7	1.5869
23.69	1.58706
23.68	1.58723
23.67	1.5874
23.66	1.58757
23.65	1.58774
23.64	1.58791
23.63	1.58808
23.62	1.58825
23.61	1.58842
23.6	1.58859
23.59	1.58876
23.58	1.58893
23.57	1.5891
23.56	1.58927
23.55	1.58944
23.54	1.58962
23.53	1.58979
23.52	1.58996
23.51	1.59013
23.5	1.5903
23.49	1.59048
23.48	1.59065
23.47	1.59082
23.46	1.59099
23.45	1.59117
23.44	1.59134
23.43	1.59151
23.42	1.59169
23.41	1.59186
23.4	1.59203
23.39	1.59221
23.38	1.59238
23.37	1.59256
23.36	1.59273
23.35	1.5929
23.34	1.59308
23.33	1.59325
23.32	1.59343
23.31	1.5936
23.3	1.59378
23.29	1.59396
23.28	1.59413
23.27	1.59431
23.26	1.59448
23.25	1.59466
23.24	1.59484
23.23	1.59501
23.22	1.59519
23.21	1.59537
23.2	1.59555
23.19	1.59572
23.18	1.5959
23.17	1.59608
23.16	1.59626
23.15	1.59644
23.14	1.59661
23.13	1.59679
23.12	1.59697
23.11	1.59715
23.1	1.59733
23.09	1.59751
23.08	1.59769
23.07	1.59787
23.06	1.59805
23.05	1.59823
23.04	1.59841
23.03	1.59859
23.02	1.59877
23.01	1.59895
23	1.59913
22.99	1.59932
22.98	1.5995
22.97	1.59968
22.96	1.59986
22.95	1.60004
22.94	1.60023
22.93	1.60041
22.92	1.60059
22.91	1.60077
22.9	1.60096
22.89	1.60114
22.88	1.60132
22.87	1.60151
22.86	1.60169
22.85	1.60187
22.84	1.60206
22.83	1.60224
22.82	1.60243
22.81	1.60261
22.8	1.6028
22.79	1.60298
22.78	1.60317
22.77	1.60335
22.76	1.60354
22.75	1.60373
22.74	1.60391
22.73	1.6041
22.72	1.60429
22.71	1.60447
22.7	1.60466
22.69	1.60485
22.68	1.60503
22.67	1.60522
22.66	1.60541
22.65	1.6056
22.64	1.60579
22.63	1.60597
22.62	1.60616
22.61	1.60635
22.6	1.60654
22.59	1.60673
22.58	1.60692
22.57	1.60711
22.56	1.6073
22.55	1.60749
22.54	1.60768
22.53	1.60787
22.52	1.60806
22.51	1.60825
22.5	1.60844
22.49	1.60863
22.48	1.60883
22.47	1.60902
22.46	1.60921
22.45	1.6094
22.44	1.60959
22.43	1.60979
22.42	1.60998
22.41	1.61017
22.4	1.61037
22.39	1.61056
22.38	1.61075
22.37	1.61095
22.36	1.61114
22.35	1.61134
22.34	1.61153
22.33	1.61172
22.32	1.61192
22.31	1.61211
22.3	1.61231
22.29	1.61251
22.28	1.6127
22.27	1.6129
22.26	1.61309
22.25	1.61329
22.24	1.61349
22.23	1.61368
22.22	1.61388
22.21	1.61408
22.2	1.61427
22.19	1.61447
22.18	1.61467
22.17	1.61487
22.16	1.61507
22.15	1.61527
22.14	1.61546
22.13	1.61566
22.12	1.61586
22.11	1.61606
22.1	1.61626
22.09	1.61646
22.08	1.61666
22.07	1.61686
22.06	1.61706
22.05	1.61726
22.04	1.61746
22.03	1.61767
22.02	1.61787
22.01	1.61807
22	1.61827
21.99	1.61847
21.98	1.61868
21.97	1.61888
21.96	1.61908
21.95	1.61928
21.94	1.61949
21.93	1.61969
21.92	1.61989
21.91	1.6201
21.9	1.6203
21.89	1.62051
21.88	1.62071
21.87	1.62092
21.86	1.62112
21.85	1.62133
21.84	1.62153
21.83	1.62174
21.82	1.62194
21.81	1.62215
21.8	1.62236
21.79	1.62256
21.78	1.62277
21.77	1.62298
21.76	1.62318
21.75	1.62339
21.74	1.6236
21.73	1.62381
21.72	1.62402
21.71	1.62423
21.7	1.62443
21.69	1.62464
21.68	1.62485
21.67	1.62506
21.66	1.62527
21.65	1.62548
21.64	1.62569
21.63	1.6259
21.62	1.62611
21.61	1.62632
21.6	1.62654
21.59	1.62675
21.58	1.62696
21.57	1.62717
21.56	1.62738
21.55	1.62759
21.54	1.62781
21.53	1.62802
21.52	1.62823
21.51	1.62845
21.5	1.62866
21.49	1.62887
21.48	1.62909
21.47	1.6293
21.46	1.62952
21.45	1.62973
21.44	1.62995
21.43	1.63016
21.42	1.63038
21.41	1.63059
21.4	1.63081
21.39	1.63103
21.38	1.63124
21.37	1.63146
21.36	1.63168
21.35	1.63189
21.34	1.63211
21.33	1.63233
21.32	1.63255
21.31	1.63277
21.3	1.63298
21.29	1.6332
21.28	1.63342
21.27	1.63364
21.26	1.63386
21.25	1.63408
21.24	1.6343
21.23	1.63452
21.22	1.63474
21.21	1.63496
21.2	1.63519
21.19	1.63541
21.18	1.63563
21.17	1.63585
21.16	1.63607
21.15	1.63629
21.14	1.63652
21.13	1.63674
21.12	1.63696
21.11	1.63719
21.1	1.63741
21.09	1.63763
21.08	1.63786
21.07	1.63808
21.06	1.63831
21.05	1.63853
21.04	1.63876
