Significant	-Log(P-value)	Difference	Protein IDs	Majority protein IDs	Fasta headers	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	ProteasomeAnnotation	SubComplexAnnotation	GraphGroup	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS Count	LFQ intensity Col0_Minus_BR1	LFQ intensity Col0_Minus_BR2	LFQ intensity Col0_Minus_BR3	LFQ intensity Col0_Plus_BR1	LFQ intensity Col0_Plus_BR2	LFQ intensity Col0_Plus_BR3	LFQ intensity PAG1_Minus_BR1	LFQ intensity PAG1_Minus_BR2	LFQ intensity PAG1_Minus_BR3	LFQ intensity PAG1_Plus_BR1	LFQ intensity PAG1_Plus_BR2	LFQ intensity PAG1_Plus_BR3	LFQ intensity RPT4a_Minus_BR1	LFQ intensity RPT4a_Minus_BR2	LFQ intensity RPT4a_Minus_BR3	LFQ intensity RPT4a_Plus_BR1	LFQ intensity RPT4a_Plus_BR2	LFQ intensity RPT4a_Plus_BR3	LFQ intensity RPT4b_Minus_BR1	LFQ intensity RPT4b_Minus_BR2	LFQ intensity RPT4b_Minus_BR3	LFQ intensity RPT4b_Plus_BR1	LFQ intensity RPT4b_Plus_BR2	LFQ intensity RPT4b_Plus_BR3
	0.812363445	-1.807210922	AT1G01050.1;AT4G01480.1	AT1G01050.1;AT4G01480.1	"AT1G01050.1 | Symbols: AtPPa1, PPa1 | pyrophosphorylase 1 | chr1:31382-32670 REVERSE LENGTH=212;AT4G01480.1 | Symbols: AtPPa5, PPa5 | pyrophosphorylase 5 | chr4:626539-627758 FORWARD LENGTH=216"	Color [DarkGray]	1	4								1	1	1	8	8	8	24.484	0	3.5989	38838000	7	22.70629	22.04383	21.57911	18.54473	18.51701	18.54083	18.32647	21.98579	18.48469	18.83831	18.3383	18.44498	18.3773	20.98426	21.54604	18.4749	17.51278	18.40387	22.3713	21.02351	18.23495	18.3333	17.87032	19.26615
	1.206926052	0.270575205	AT1G01090.1	AT1G01090.1	AT1G01090.1 | Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428	Color [DarkGray]	1	4								9	9	9	28.7	28.7	28.7	47.173	0	57.191	988900000	144	24.48679	24.58471	24.42413	23.9954	22.98308	24.26052	24.51504	25.49353	24.7604	24.5715	17.57104	23.92515	24.88853	24.83612	24.5827	24.69929	16.65971	24.31569	25.13542	24.59799	24.80047	24.19979	17.02477	24.04879
	1.211220018	0.446858724	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.2 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.1 | Symbols:  | 60S acidic ribosomal protein f	Color [DarkGray]	1	4								3	3	2	77.7	77.7	49.1	11.162	0	66.567	327510000	78	22.54377	22.85404	22.34158	21.07898	20.88237	22.93581	23.82765	23.82749	23.91006	18.11511	19.65215	17.73973	23.19005	22.88567	23.00424	17.7695	18.97357	22.50004	24.21679	22.27632	22.91071	22.79672	20.51422	23.02098
	1.421184681	-2.120234807	AT1G01300.1	AT1G01300.1	AT1G01300.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485	Color [DarkGray]	1	4								3	2	2	8.5	6.8	6.8	52.175	0	4.5369	26490000	2	20.719	18.86475	20.98461	20.15894	18.045	21.34527	21.46199	21.43726	17.7296	20.0767	20.26156	20.66822	17.68408	18.30469	18.21889	19.68282	20.83098	21.88054	18.5716	18.46516	17.56371	17.63617	19.31823	21.49116
	0.336045198	-0.572889328	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1787;AT1G01320.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1797;AT4G28080.	Color [DarkGray]	1	4								2	2	2	2.6	2.6	2.6	197.5	0	6.8759	718040000	15	19.09171	18.35262	18.97867	18.09477	19.32529	18.04388	26.7005	26.90474	26.60046	20.65111	19.78196	24.78177	19.56435	17.60541	17.53456	20.2431	19.65113	17.61987	17.92675	17.80281	19.38438	19.52708	19.98982	19.87726
	0.436181334	-0.807319005	AT1G02140.1	AT1G02140.1	"AT1G02140.1 | Symbols: MEE63, MAGO, HAP1 | mago nashi family protein | chr1:403467-404401 REVERSE LENGTH=150"	Color [DarkGray]	1	4								2	2	2	17.3	17.3	17.3	17.458	0	5.1011	32137000	7	21.91583	19.74172	21.41233	19.31525	19.7002	21.11661	17.56343	18.82283	22.20391	20.19905	19.90927	19.65266	20.11495	19.50211	21.03086	19.80216	19.11789	19.74639	19.67583	19.59937	21.50538	20.08079	19.46128	21.57649
	2.276882172	3.103499095	AT1G02150.1	AT1G02150.1	AT1G02150.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:408779-410433 FORWARD LENGTH=524	Color [DarkGray]	1	4								3	3	3	10.7	10.7	10.7	59.882	0	7.7901	30871000	4	18.59608	20.14849	18.48144	19.67264	19.40515	19.39182	19.6331	18.10708	19.7777	20.31905	20.02198	20.21282	22.26868	22.41307	21.85476	19.91921	19.25944	20.36909	22.58298	20.12545	21.85346	19.64502	19.60159	19.73202
	0.554302733	-0.763617198	AT1G02305.1	AT1G02305.1	AT1G02305.1 | Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362	Color [DarkGray]	1	4								2	2	2	5.8	5.8	5.8	40.033	0	4.0231	28539000	7	22.02678	21.33821	21.33612	19.39137	19.48347	21.12683	20.23916	20.04847	20.37744	20.42529	21.06423	19.77197	19.68163	21.48748	21.24115	20.02283	19.38476	19.87902	20.18801	19.71142	21.0594	21.95177	19.7258	19.39387
	0.059232841	0.239736557	AT1G02475.1	AT1G02475.1	AT1G02475.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:514110-515331 REVERSE LENGTH=219	Color [DarkGray]	1	4								3	3	3	15.1	15.1	15.1	25.037	0	6.7103	75653000	10	19.9404	20.73248	23.59203	19.46604	20.89215	20.78804	19.7622	20.61696	22.0036	21.40767	20.83758	19.889	21.93849	20.05752	22.98811	20.98105	20.54357	20.00912	21.88774	19.82133	22.14243	19.76069	20.87439	19.75868
	0.374886986	-0.906584422	AT1G02500.2;AT1G02500.1	AT1G02500.2;AT1G02500.1	"AT1G02500.2 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393;AT1G02500.1 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393"	Color [DarkGray]	1	4								9	2	2	31.6	8.9	8.9	43.158	0	14.195	102270000	14	22.21969	21.73138	23.15601	20.52162	21.35434	19.78653	22.38277	23.53326	19.90544	22.33355	19.4135	19.9926	22.25905	19.62041	22.50786	22.1845	20.29156	20.12429	22.9715	19.91863	19.91752	19.8631	20.62461	18.47818
