Significant	-Log(P-value)	Difference	Protein IDs	Majority protein IDs	Fasta headers	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	ProteasomeAnnotation	SubComplexAnnotation	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS Count	LFQ intensity Col0_Minus_BR1	LFQ intensity Col0_Minus_BR2	LFQ intensity Col0_Minus_BR3	LFQ intensity Col0_Plus_BR1	LFQ intensity Col0_Plus_BR2	LFQ intensity Col0_Plus_BR3	LFQ intensity PAG1_Minus_BR1	LFQ intensity PAG1_Minus_BR2	LFQ intensity PAG1_Minus_BR3	LFQ intensity PAG1_Plus_BR1	LFQ intensity PAG1_Plus_BR2	LFQ intensity PAG1_Plus_BR3	LFQ intensity RPT4a_Minus_BR1	LFQ intensity RPT4a_Minus_BR2	LFQ intensity RPT4a_Minus_BR3	LFQ intensity RPT4a_Plus_BR1	LFQ intensity RPT4a_Plus_BR2	LFQ intensity RPT4a_Plus_BR3	LFQ intensity RPT4b_Minus_BR1	LFQ intensity RPT4b_Minus_BR2	LFQ intensity RPT4b_Minus_BR3	LFQ intensity RPT4b_Plus_BR1	LFQ intensity RPT4b_Plus_BR2	LFQ intensity RPT4b_Plus_BR3
	0.946789217168264	-2.33980496724447	AT1G01050.1;AT4G01480.1	AT1G01050.1;AT4G01480.1	AT1G01050.1 | Symbols: AtPPa1, PPa1 | pyrophosphorylase 1 | chr1:31382-32670 REVERSE LENGTH=212;AT4G01480.1 | Symbols: AtPPa5, PPa5 | pyrophosphorylase 5 | chr4:626539-627758 FORWARD LENGTH=216	Color [DarkGray]	1	4							1	1	1	8	8	8	24.484	0	3.5989	38838000	7	22.70629	22.04383	21.57911	18.69267	18.67339	18.70065	18.5757	21.98579	18.74833	19.0993	18.62622	18.69336	18.61104	20.98426	21.54604	18.73559	17.83039	18.69434	22.3713	21.02351	18.49337	18.62197	18.22572	18.59166
	0.644009089634992	0.424447377522789	AT1G01090.1	AT1G01090.1	AT1G01090.1 | Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428	Color [DarkGray]	1	4							9	9	9	28.7	28.7	28.7	47.173	0	57.191	988900000	144	24.48679	24.58471	24.42413	23.9954	22.98308	24.26052	24.51504	25.49353	24.7604	24.5715	19.26389	23.92515	24.88853	24.83612	24.5827	24.69929	18.54016	24.31569	25.13542	24.59799	24.80047	24.19979	18.92266	24.04879
	2.96192705297192	1.27527046203613	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.2 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.1 | Symbols:  | 60S acidic ribosomal protein f	Color [DarkGray]	1	4							3	3	2	77.7	77.7	49.1	11.162	0	66.567	327510000	78	22.54377	22.85404	22.34158	21.07898	20.88237	22.93581	23.82765	23.82749	23.91006	19.70058	20.4994	19.28163	23.19005	22.88567	23.00424	19.32239	19.91536	22.50004	24.21679	22.27632	22.91071	22.79672	20.51422	23.02098
	0.218328954661825	0.519421895345051	AT1G01300.1	AT1G01300.1	AT1G01300.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485	Color [DarkGray]	1	4							3	2	2	8.5	6.8	6.8	52.175	0	4.5369	26490000	2	20.719	19.0148	20.98461	20.15894	19.06821	21.34527	21.46199	21.43726	19.37744	20.86558	19.29859	20.66822	19.18985	18.53522	18.45833	20.45934	20.83098	21.88054	18.80803	18.71435	19.05226	19.19936	20.27299	21.49116
+	6.2497617237043	7.47264289855957	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1787;AT1G01320.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1797;AT4G28080.	Color [DarkGray]	1	4							2	2	2	2.6	2.6	2.6	197.5	0	6.8759	718040000	15	19.22087	19.44468	19.12222	19.06948	19.83319	19.1166	26.7005	26.90474	26.60046	19.7333	19.1041	24.78177	20.31132	19.11956	19.0287	19.35433	18.57879	19.34667	19.34604	19.26653	20.13514	20.31808	18.96058	19.15615
	0.388928642584527	-1.04625384012858	AT1G02140.1	AT1G02140.1	AT1G02140.1 | Symbols: MEE63, MAGO, HAP1 | mago nashi family protein | chr1:403467-404401 REVERSE LENGTH=150	Color [DarkGray]	1	4							2	2	2	17.3	17.3	17.3	17.458	0	5.1011	32137000	7	21.91583	20.2776	21.41233	19.79956	19.08969	21.11661	19.2132	19.04989	22.20391	19.54991	21.65434	20.42143	19.22136	20.25175	21.03086	19.17535	18.3623	20.61058	20.38847	20.3364	21.50538	19.23078	18.74801	21.57649
	1.07345513029634	0.681957880655926	AT1G02150.1	AT1G02150.1	AT1G02150.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:408779-410433 FORWARD LENGTH=524	Color [DarkGray]	1	4							3	3	3	10.7	10.7	10.7	59.882	0	7.7901	30871000	4	19.63911	19.46808	19.53997	19.08999	18.96927	19.92253	20.44838	19.6483	20.59636	21.9546	20.19016	19.31365	22.26868	22.41307	21.85476	21.52215	21.20088	19.38217	22.58298	19.29658	21.85346	19.05467	21.53525	20.24987
	1.48156193089218	-1.74460093180338	AT1G02305.1	AT1G02305.1	AT1G02305.1 | Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362	Color [DarkGray]	1	4							2	2	2	5.8	5.8	5.8	40.033	0	4.0231	28539000	7	22.02678	21.33821	21.33612	18.97506	20.54828	21.12683	19.2479	20.80774	19.41168	20.57399	19.44587	19.13422	19.04481	21.48748	21.24115	20.17477	19.57116	19.1832	19.37532	19.12816	21.0594	21.95177	19.93501	19.18687
	0.426899004211987	-1.34535853068034	AT1G02475.1	AT1G02475.1	AT1G02475.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:514110-515331 REVERSE LENGTH=219	Color [DarkGray]	1	4							3	3	3	15.1	15.1	15.1	25.037	0	6.7103	75653000	10	20.44949	20.73248	23.59203	20.48203	20.89215	20.78804	19.05345	19.68087	22.0036	19.87218	20.89286	21.48689	21.93849	19.15137	22.98811	19.48986	18.74272	21.79207	21.88774	21.3365	22.14243	21.36385	19.12155	19.01469
	0.184935828049085	-0.657087326049805	AT1G02500.2;AT1G02500.1	AT1G02500.2;AT1G02500.1	AT1G02500.2 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393;AT1G02500.1 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393	Color [DarkGray]	1	4							9	2	2	31.6	8.9	8.9	43.158	0	14.195	102270000	14	22.21969	21.73138	23.15601	20.52162	21.35434	19.13924	22.38277	23.53326	19.21979	22.33355	19.5373	20.13615	22.25905	18.97314	22.50786	22.1845	20.35331	20.29423	22.9715	20.06862	19.08268	20.03807	20.70301	21.27227
