LFQ intensity Col0_Minus_BR1_TR1	LFQ intensity Col0_Minus_BR1_TR2	LFQ intensity Col0_Minus_BR2_TR1	LFQ intensity Col0_Minus_BR2_TR2	LFQ intensity Col0_Minus_BR3_TR1	LFQ intensity Col0_Minus_BR3_TR2	LFQ intensity Col0_Plus_BR1_TR1	LFQ intensity Col0_Plus_BR1_TR2	LFQ intensity Col0_Plus_BR2_TR1	LFQ intensity Col0_Plus_BR2_TR2	LFQ intensity Col0_Plus_BR3_TR1	LFQ intensity Col0_Plus_BR3_TR2	LFQ intensity PAG1_Minus_BR1_TR1	LFQ intensity PAG1_Minus_BR1_TR2	LFQ intensity PAG1_Minus_BR2_TR1	LFQ intensity PAG1_Minus_BR2_TR2	LFQ intensity PAG1_Minus_BR3_TR1	LFQ intensity PAG1_Minus_BR3_TR2	LFQ intensity PAG1_Plus_BR1_TR1	LFQ intensity PAG1_Plus_BR1_TR2	LFQ intensity PAG1_Plus_BR2_TR1	LFQ intensity PAG1_Plus_BR2_TR2	LFQ intensity PAG1_Plus_BR3_TR1	LFQ intensity PAG1_Plus_BR3_TR2	LFQ intensity RPT4a_Minus_BR1_TR1	LFQ intensity RPT4a_Minus_BR1_TR2	LFQ intensity RPT4a_Minus_BR2_TR1	LFQ intensity RPT4a_Minus_BR2_TR2	LFQ intensity RPT4a_Minus_BR3_TR1	LFQ intensity RPT4a_Minus_BR3_TR2	LFQ intensity RPT4a_Plus_BR1_TR1	LFQ intensity RPT4a_Plus_BR1_TR2	LFQ intensity RPT4a_Plus_BR2_TR1	LFQ intensity RPT4a_Plus_BR2_TR2	LFQ intensity RPT4a_Plus_BR3_TR1	LFQ intensity RPT4a_Plus_BR3_TR2	LFQ intensity RPT4b_Minus_BR1_TR1	LFQ intensity RPT4b_Minus_BR1_TR2	LFQ intensity RPT4b_Minus_BR2_TR1	LFQ intensity RPT4b_Minus_BR2_TR2	LFQ intensity RPT4b_Minus_BR3_TR1	LFQ intensity RPT4b_Minus_BR3_TR2	LFQ intensity RPT4b_Plus_BR1_TR1	LFQ intensity RPT4b_Plus_BR1_TR2	LFQ intensity RPT4b_Plus_BR2_TR1	LFQ intensity RPT4b_Plus_BR2_TR2	LFQ intensity RPT4b_Plus_BR3_TR1	LFQ intensity RPT4b_Plus_BR3_TR2	C: Only identified by site	C: Reverse	C: Potential contaminant	C: ProteasomeAnnotation	C: SubComplexAnnotation	C: GraphGroup	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS Count	T: Protein IDs	T: Majority protein IDs	T: Fasta headers
4821200	9713900	4323700	0	0	3133000	0	0	0	0	0	0	0	0	4153200	0	0	0	0	0	0	0	0	0	0	0	0	2074400	0	3062000	0	0	0	0	0	0	0	5425400	2131600	0	0	0	0	0	0	0	0	0							1	1	1	8	8	8	24.484	0	3.5989	38838000	7	AT1G01050.1;AT4G01480.1	AT1G01050.1;AT4G01480.1	AT1G01050.1 | Symbols: AtPPa1, PPa1 | pyrophosphorylase 1 | chr1:31382-32670 REVERSE LENGTH=212;AT4G01480.1 | Symbols: AtPPa5, PPa5 | pyrophosphorylase 5 | chr4:626539-627758 FORWARD LENGTH=216
24229000	22813000	26121000	24237000	22987000	22045000	18564000	15066000	9189600	7479900	19180000	21059000	27978000	20545000	48124000	46374000	25991000	31076000	24932000	0	0	0	15929000	0	30671000	31453000	32032000	28006000	21659000	29149000	24333000	30497000	0	0	20881000	0	39765000	34161000	23234000	27755000	30281000	28197000	21611000	17181000	0	0	13925000	21628000							9	9	9	28.7	28.7	28.7	47.173	0	57.191	988900000	144	AT1G01090.1	AT1G01090.1	AT1G01090.1 | Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428
4721800	7917600	7115900	8077400	5003500	5645400	1987000	2469500	3066300	1218500	7851600	8199300	14888000	0	13373000	16571000	17300000	14363000	0	0	0	0	0	0	9278000	9870700	6936500	8657700	6802200	10406000	0	0	0	0	6480000	5430000	19264000	19734000	4200900	6142400	9328800	6664900	6300200	8426300	0	1497600	8913400	8127700							3	3	2	77.7	77.7	49.1	11.162	0	66.567	327510000	78	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.2 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.1 | Symbols:  | 60S acidic ribosomal protein f
0	1726000	0	0	0	2074900	0	1170700	0	0	0	2664200	0	2888700	0	2839600	0	0	0	0	0	0	1666300	0	0	0	0	0	0	0	0	0	0	1865300	0	3861000	0	0	0	0	0	0	0	0	0	0	0	2947700							3	2	2	8.5	6.8	6.8	52.175	0	4.5369	26490000	2	AT1G01300.1	AT1G01300.1	AT1G01300.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485
0	0	0	0	0	0	0	0	0	0	0	0	115840000	102670000	130590000	120880000	129480000	79960000	0	0	0	0	0	28844000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							2	2	2	2.6	2.6	2.6	197.5	0	6.8759	718040000	15	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1787;AT1G01320.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1797;AT4G28080.
3956600	0	0	0	2492000	3125800	0	0	0	0	2418700	2137400	0	0	0	0	4190900	5569000	0	0	0	0	0	0	0	0	0	0	2142500	0	0	0	0	0	0	0	0	0	0	0	0	2976900	0	0	0	0	3127300	0							2	2	2	17.3	17.3	17.3	17.458	0	5.1011	32137000	7	AT1G02140.1	AT1G02140.1	AT1G02140.1 | Symbols: MEE63, MAGO, HAP1 | mago nashi family protein | chr1:403467-404401 REVERSE LENGTH=150
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5052900	5584800	0	3792600	0	0	0	0	0	0	0	7060200	5591000	0	0	0	3789200	0	0	0	0	0	0							3	3	3	10.7	10.7	10.7	59.882	0	7.7901	30871000	4	AT1G02150.1	AT1G02150.1	AT1G02150.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:408779-410433 FORWARD LENGTH=524
0	4272900	0	2651200	2925800	2395400	0	0	0	0	1965400	2667900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2940200	0	2478700	0	0	0	0	0	0	0	0	0	0	0	2185300	0	4056400	0	0	0	0							2	2	2	5.8	5.8	5.8	40.033	0	4.0231	28539000	7	AT1G02305.1	AT1G02305.1	AT1G02305.1 | Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362
0	0	1742200	0	12223000	13081000	0	0	1946100	0	2027900	1616600	0	0	0	0	4204800	0	0	0	0	0	0	0	4744000	3405200	0	0	6021100	11496000	0	0	0	0	0	0	3880300	0	0	0	4797600	4467300	0	0	0	0	0	0							3	3	3	15.1	15.1	15.1	25.037	0	6.7103	75653000	10	AT1G02475.1	AT1G02475.1	AT1G02475.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:514110-515331 REVERSE LENGTH=219
5389800	4426000	3812500	3179700	7436100	11748000	0	1505300	2681000	0	0	0	5468700	0	12140000	0	0	0	5285300	0	0	0	0	0	5019300	0	0	0	3993400	8907200	4766500	0	0	0	0	0	7529400	8983800	0	0	0	0	0	0	0	0	0	0							9	2	2	31.6	8.9	8.9	43.158	0	14.195	102270000	14	AT1G02500.2;AT1G02500.1	AT1G02500.2;AT1G02500.1	AT1G02500.2 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393;AT1G02500.1 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393
