LFQ intensity Col0_Minus	LFQ intensity Col0_Plus	LFQ intensity PAG1_Minus	LFQ intensity PAG1_Plus	LFQ intensity RPT4a_Minus	LFQ intensity RPT4a_Plus	LFQ intensity RPT4b_Minus	LFQ intensity RPT4b_Plus	C: Only identified by site	C: Reverse	C: Potential contaminant	C: ProteasomeAnnotation	C: SubComplexAnnotation	C: GraphGroup	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS Count	N: stddev LFQ intensity Col0_Minus	N: stddev LFQ intensity Col0_Plus	N: stddev LFQ intensity PAG1_Minus	N: stddev LFQ intensity PAG1_Plus	N: stddev LFQ intensity RPT4a_Minus	N: stddev LFQ intensity RPT4a_Plus	N: stddev LFQ intensity RPT4b_Minus	N: stddev LFQ intensity RPT4b_Plus	T: Protein IDs	T: Majority protein IDs	T: Fasta headers
22.1097	18.6889	19.7699	18.8063	20.3804	18.4201	20.6294	18.4798							1	1	1	8	8	8	24.484	0	3.5989	38838000	7	0.566471	0.0140163	1.92092	0.255964	1.55788	0.511124	1.96878	0.220542	AT1G01050.1;AT4G01480.1	AT1G01050.1;AT4G01480.1	AT1G01050.1 | Symbols: AtPPa1, PPa1 | pyrophosphorylase 1 | chr1:31382-32670 REVERSE LENGTH=212;AT4G01480.1 | Symbols: AtPPa5, PPa5 | pyrophosphorylase 5 | chr4:626539-627758 FORWARD LENGTH=216
24.4985	23.7463	24.923	22.5868	24.7691	22.5184	24.8446	22.3904							9	9	9	28.7	28.7	28.7	47.173	0	57.191	988900000	144	0.0809303	0.674158	0.509107	2.89585	0.163555	3.45057	0.271424	3.00411	AT1G01090.1	AT1G01090.1	AT1G01090.1 | Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428
22.5798	21.6324	23.8551	19.8272	23.0267	20.5793	23.1346	22.1106							3	3	2	77.7	77.7	49.1	11.162	0	66.567	327510000	78	0.258124	1.13307	0.0476279	0.61868	0.153426	1.68966	0.989423	1.38708	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.2 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.1 | Symbols:  | 60S acidic ribosomal protein f
20.2395	20.1908	20.7589	20.2775	18.7278	21.057	18.8582	20.3212							3	2	2	8.5	6.8	6.8	52.175	0	4.5369	26490000	2	1.06888	1.13887	1.19644	0.853451	0.401992	0.737057	0.174457	1.14666	AT1G01300.1	AT1G01300.1	AT1G01300.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485
19.2626	19.3398	26.7352	21.2064	19.4865	19.0933	19.5826	19.4783							2	2	2	2.6	2.6	2.6	197.5	0	6.8759	718040000	15	0.165232	0.427974	0.155081	3.11231	0.715735	0.445562	0.48019	0.733842	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1787;AT1G01320.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1797;AT4G28080.
21.2019	20.002	20.1557	20.5419	20.168	19.3827	20.7434	19.8518							2	2	2	17.3	17.3	17.3	17.458	0	5.1011	32137000	7	0.839141	1.02851	1.77571	1.05737	0.907658	1.1384	0.660391	1.51303	AT1G02140.1	AT1G02140.1	AT1G02140.1 | Symbols: MEE63, MAGO, HAP1 | mago nashi family protein | chr1:403467-404401 REVERSE LENGTH=150
19.5491	19.3273	20.231	20.4861	22.1788	20.7017	21.2443	20.2799							3	3	3	10.7	10.7	10.7	59.882	0	7.7901	30871000	4	0.0858779	0.519039	0.51004	1.34512	0.2898	1.15401	1.7258	1.24056	AT1G02150.1	AT1G02150.1	AT1G02150.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:408779-410433 FORWARD LENGTH=524
21.567	20.2167	19.8224	19.718	20.5911	19.643	19.8543	20.3579							2	2	2	5.8	5.8	5.8	40.033	0	4.0231	28539000	7	0.398153	1.11354	0.857218	0.757484	1.34482	0.499677	1.05094	1.43013	AT1G02305.1	AT1G02305.1	AT1G02305.1 | Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362
21.5913	20.7207	20.246	20.7506	21.3593	20.0082	21.7889	19.8334							3	3	3	15.1	15.1	15.1	25.037	0	6.7103	75653000	10	1.73842	0.213187	1.55414	0.816697	1.98286	1.58939	0.411953	1.32651	AT1G02475.1	AT1G02475.1	AT1G02475.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:514110-515331 REVERSE LENGTH=219
22.369	20.3384	21.7119	20.669	21.2467	20.944	20.7076	20.6711							9	2	2	31.6	8.9	8.9	43.158	0	14.195	102270000	14	0.723961	1.11886	2.23361	1.47231	1.97288	1.0747	2.02162	0.617716	AT1G02500.2;AT1G02500.1	AT1G02500.2;AT1G02500.1	AT1G02500.2 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393;AT1G02500.1 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393
22.6072	21.4257	22.4245	20.191	23.1485	19.7329	23.2536	20.4527							6	6	6	22.5	22.5	22.5	32.356	0	15.958	227590000	20	0.768893	1.59927	0.146337	0.931522	0.164019	1.00353	0.788444	2.0103	AT1G02560.1	AT1G02560.1	AT1G02560.1 | Symbols: CLPP5, NCLPP5, NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298
26.5096	24.9465	27.5291	26.2908	27.03	26.0928	27.0769	26.3369							12	12	10	43.9	43.9	35.5	24.606	0	128.68	5232500000	327	0.290272	1.04366	0.16976	0.75082	0.194233	1.01954	0.195758	0.771923	AT1G02780.1;AT4G02230.1	AT1G02780.1;AT4G02230.1	AT1G02780.1 | Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214;AT4G02230.1 | Symbols:  | Ribosomal protein L19e family protein | chr4:979391-980640 REVERSE LENGTH=208
20.083	19.277	23.2931	21.1708	21.3088	21.0316	19.8365	20.7021							3	3	3	4.4	4.4	4.4	135.99	0	35.95	103770000	9	0.368973	0.326378	0.965441	0.473072	0.0425935	0.745925	1.18555	1.07029	AT1G02890.1;AT4G02480.1;AT1G02890.2;AT1G62130.1;AT4G24860.1	AT1G02890.1;AT4G02480.1;AT1G02890.2	AT1G02890.1 | Symbols:  | AAA-type ATPase family protein | chr1:645372-651797 REVERSE LENGTH=1246;AT4G02480.1 | Symbols:  | AAA-type ATPase family protein | chr4:1082082-1088680 REVERSE LENGTH=1265;AT1G02890.2 | Symbols:  | AAA-type ATPase family protein |
20.0299	20.5891	20.9457	21.2404	21.8133	22.2143	21.4931	21.2298							4	3	3	25.4	21.5	21.5	23.598	0	5.6366	72715000	6	0.83386	0.519098	1.25521	0.928297	0.590515	1.45786	1.40585	0.640205	AT1G02920.1;AT1G02930.2;AT1G02930.1	AT1G02920.1;AT1G02930.2;AT1G02930.1	AT1G02920.1 | Symbols: ATGSTF7, GST11, ATGSTF8, GSTF7, ATGST11 | glutathione S-transferase 7 | chr1:658886-659705 REVERSE LENGTH=209;AT1G02930.2 | Symbols: GSTF6 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208;AT1G02930.1 | Symbols: A
22.2861	21.0349	22.0067	21.3351	23.2277	19.9403	22.9544	22.3667							4	4	4	20.1	20.1	20.1	22.306	0	11.703	217370000	39	0.748711	1.57449	0.3839	1.4219	0.268174	0.944545	0.061093	1.47196	AT1G03130.1;AT4G02770.1	AT1G03130.1;AT4G02770.1	AT1G03130.1 | Symbols: PSAD-2 | photosystem I subunit D-2 | chr1:753528-754142 REVERSE LENGTH=204;AT4G02770.1 | Symbols: PSAD-1 | photosystem I subunit D-1 | chr4:1229247-1229873 REVERSE LENGTH=208
19.9931	20.9517	20.774	19.7349	20.4873	20.9053	19.954	19.9457							2	2	1	8.5	8.5	5.1	45.717	0	8.4703	20491000	3	1.05244	0.833128	0.970804	0.484971	0.760008	1.70711	1.04381	0.48422	AT1G03220.1	AT1G03220.1	AT1G03220.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:787143-788444 FORWARD LENGTH=433
21.286	19.4465	20.6455	20.3302	20.1847	19.9796	20.3444	21.1242							2	2	2	6.5	6.5	6.5	43.796	0.003006	3.2587	77314000	2	0.908071	0.270071	2.02712	0.709074	1.75583	0.0816605	0.882562	2.7522	AT1G03475.1;AT4G03205.1;AT4G03205.2	AT1G03475.1;AT4G03205.1;AT4G03205.2	AT1G03475.1 | Symbols: LIN2, HEMF1, ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386;AT4G03205.1 | Symbols: hemf2 | Coproporphyrinogen III oxidase | chr4:1412814-1413765 FORWARD LENGTH=233;AT4G03205.2 | Symbols: hemf2 | Copr
21.5096	20.7238	20.7813	21.8719	19.8429	20.1064	19.9776	21.5011							3	3	3	29.9	29.9	29.9	18.834	0	7.0161	101590000	10	1.66836	1.21001	0.239297	3.54024	0.878438	1.24505	0.702919	1.57372	AT1G03600.1	AT1G03600.1	AT1G03600.1 | Symbols: PSB27 | photosystem II family protein | chr1:898916-899440 FORWARD LENGTH=174
21.8432	21.493	21.106	20.2963	23.5197	20.2225	22.8412	22.0967							3	2	2	9.8	7.8	7.8	43.625	0	5.7906	192890000	11	0.355974	0.98168	1.29074	0.447267	0.210512	0.762646	0.282285	0.833384	AT1G03630.2;AT1G03630.1	AT1G03630.2;AT1G03630.1	AT1G03630.2 | Symbols: POR C, PORC | protochlorophyllide oxidoreductase C | chr1:907699-909245 FORWARD LENGTH=399;AT1G03630.1 | Symbols: POR C, PORC | protochlorophyllide oxidoreductase C | chr1:907699-909245 FORWARD LENGTH=401
21.5764	20.0636	19.7659	20.0495	21.1617	18.9962	21.0829	19.6286							2	2	2	15.6	15.6	15.6	19.664	0	8.6498	40159000	9	0.755274	0.934363	0.256965	0.719108	1.78896	0.786485	1.072	0.719316	AT1G03680.1	AT1G03680.1	AT1G03680.1 | Symbols: ATHM1, TRX-M1, ATM1, THM1 | thioredoxin M-type 1 | chr1:916990-917865 REVERSE LENGTH=179
22.0349	20.0991	22.0165	22.7922	19.6343	19.9537	24.3111	23.6262							10	10	10	37.4	37.4	37.4	50.558	0	75.359	346270000	40	0.889949	1.39838	2.91254	2.97272	0.255779	0.15553	0.390064	0.0358597	AT1G03880.1	AT1G03880.1	AT1G03880.1 | Symbols: CRU2, CRB | cruciferin 2 | chr1:985786-987916 FORWARD LENGTH=455
22.1878	21.0371	22.1061	19.8824	22.149	18.792	22.6578	19.5766							4	4	4	14.4	14.4	14.4	50.853	0	8.2331	127020000	18	0.293398	0.914882	1.28189	0.533899	0.536446	0.25659	0.63397	0.233424	AT1G04170.1	AT1G04170.1	AT1G04170.1 | Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465
20.4653	19.5487	22.4386	20.754	22.6512	20.207	22.8882	19.6158							9	9	2	72.8	72.8	10.6	17.058	0	50.041	96971000	12	0.911996	0.341717	0.267654	1.13299	0.173512	0.375076	0.276366	1.03786	AT1G04270.2;AT1G04270.1;AT5G43640.1;AT5G09500.1;AT5G09490.1	AT1G04270.2;AT1G04270.1	AT1G04270.2 | Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=151;AT1G04270.1 | Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152
25.0044	24.4325	25.9282	25.3014	25.4133	25.1601	25.1702	24.6915							14	14	14	52.1	52.1	52.1	35.571	0	188.08	2039600000	227	0.450811	0.438585	0.957621	0.842762	0.359823	0.970928	0.955918	0.545151	AT1G04410.1;AT5G43330.1;AT5G56720.1	AT1G04410.1	AT1G04410.1 | Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332
26.5921	22.8737	27.7135	24.1791	27.1079	20.8648	27.1458	21.287							12	12	12	84.8	84.8	84.8	13.406	0	88.212	3983900000	165	0.518106	1.01817	0.372553	0.448651	0.538443	3.04139	0.258177	3.18501	AT3G04400.2;AT3G04400.1;AT2G33370.1;AT1G04480.1	AT3G04400.2;AT3G04400.1;AT2G33370.1;AT1G04480.1	AT3G04400.2 | Symbols: emb2171 | Ribosomal protein L14p/L23e family protein | chr3:1167611-1168308 FORWARD LENGTH=125;AT3G04400.1 | Symbols: emb2171 | Ribosomal protein L14p/L23e family protein | chr3:1167339-1168308 FORWARD LENGTH=140;AT2G33370.1 | Symbol
20.9568	19.3835	21.3573	19.0058	21.6985	19.0952	20.2998	19.818							2	2	2	12.5	12.5	12.5	36.538	0	4.4795	30596000	3	1.22631	0.706522	0.719474	0.613917	0.897774	1.37093	1.50001	0.816637	AT1G04690.1	AT1G04690.1	AT1G04690.1 | Symbols: KAB1, KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328
22.9856	20.6379	29.185	30.0544	31.2228	30.8561	30.2892	30.5672				RPN2b	RP	RPN	69	29	29	64.3	32.5	32.5	108.86	0	323.31	57172000000	1362	0.41239	1.09755	0.710995	0.489938	0.212223	0.277056	0.145924	0.659018	AT1G04810.1	AT1G04810.1	AT1G04810.1 | Symbols:  | 26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit | chr1:1350304-1355261 FORWARD LENGTH=1001
23.6671	21.6923	24.7383	22.8661	24.3208	19.9825	24.1668	20.965							22	22	1	61.1	61.1	3.1	49.54	0	323.31	551850000	30	0.354282	0.67734	0.738215	2.13246	0.380086	0.444375	0.43167	2.32546	AT1G50010.1;AT1G04820.1	AT1G50010.1;AT1G04820.1	AT1G50010.1 | Symbols: TUA2 | tubulin alpha-2 chain | chr1:18517737-18519729 FORWARD LENGTH=450;AT1G04820.1 | Symbols: TUA4, TOR2 | tubulin alpha-4 chain | chr1:1356421-1358266 REVERSE LENGTH=450
24.6047	20.9892	24.9706	21.9648	24.9055	22.6617	25.1078	22.8004							10	10	10	47.1	47.1	47.1	24.705	0	48.577	957380000	83	0.359475	1.9959	0.872572	2.76382	0.160934	2.55727	0.167703	2.2495	AT1G05190.1	AT1G05190.1	AT1G05190.1 | Symbols: emb2394 | Ribosomal protein L6 family | chr1:1502515-1503738 REVERSE LENGTH=223
26.0608	24.4479	24.9736	24.337	25.7055	25.005	25.5898	25.0916							9	9	9	53	53	53	23.759	0	153.17	2217600000	226	0.28046	1.4446	0.483371	0.30235	0.800946	1.13563	1.23069	0.416039	AT1G06680.2;AT1G06680.1;AT2G30790.1	AT1G06680.2;AT1G06680.1	AT1G06680.2 | Symbols: PSBP-1, OEE2, PSII-P | photosystem II subunit P-1 | chr1:2048076-2049186 FORWARD LENGTH=219;AT1G06680.1 | Symbols: PSBP-1, OEE2, PSII-P, OE23 | photosystem II subunit P-1 | chr1:2047940-2049186 FORWARD LENGTH=263
