LFQ intensity Col0_Minus_BR1	LFQ intensity Col0_Minus_BR2	LFQ intensity Col0_Minus_BR3	LFQ intensity Col0_Plus_BR1	LFQ intensity Col0_Plus_BR2	LFQ intensity Col0_Plus_BR3	LFQ intensity PAG1_Minus_BR1	LFQ intensity PAG1_Minus_BR2	LFQ intensity PAG1_Minus_BR3	LFQ intensity PAG1_Plus_BR1	LFQ intensity PAG1_Plus_BR2	LFQ intensity PAG1_Plus_BR3	LFQ intensity RPT4a_Minus_BR1	LFQ intensity RPT4a_Minus_BR2	LFQ intensity RPT4a_Minus_BR3	LFQ intensity RPT4a_Plus_BR1	LFQ intensity RPT4a_Plus_BR2	LFQ intensity RPT4a_Plus_BR3	LFQ intensity RPT4b_Minus_BR1	LFQ intensity RPT4b_Minus_BR2	LFQ intensity RPT4b_Minus_BR3	LFQ intensity RPT4b_Plus_BR1	LFQ intensity RPT4b_Plus_BR2	LFQ intensity RPT4b_Plus_BR3	C: Only identified by site	C: Reverse	C: Potential contaminant	C: ProteasomeAnnotation	C: SubComplexAnnotation	C: GraphGroup	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS Count	T: Protein IDs	T: Majority protein IDs	T: Fasta headers
22.7063	22.0438	21.5791	NaN	NaN	NaN	NaN	21.9858	NaN	NaN	NaN	NaN	NaN	20.9843	21.546	NaN	NaN	NaN	22.3713	21.0235	NaN	NaN	NaN	NaN							1	1	1	8	8	8	24.484	0	3.5989	38838000	7	AT1G01050.1;AT4G01480.1	AT1G01050.1;AT4G01480.1	"AT1G01050.1 | Symbols: AtPPa1, PPa1 | pyrophosphorylase 1 | chr1:31382-32670 REVERSE LENGTH=212;AT4G01480.1 | Symbols: AtPPa5, PPa5 | pyrophosphorylase 5 | chr4:626539-627758 FORWARD LENGTH=216"
24.4868	24.5847	24.4241	23.9954	22.9831	24.2605	24.515	25.4935	24.7604	24.5715	NaN	23.9252	24.8885	24.8361	24.5827	24.6993	NaN	24.3157	25.1354	24.598	24.8005	24.1998	NaN	24.0488							9	9	9	28.7	28.7	28.7	47.173	0	57.191	988900000	144	AT1G01090.1	AT1G01090.1	AT1G01090.1 | Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428
22.5438	22.854	22.3416	21.079	20.8824	22.9358	23.8276	23.8275	23.9101	NaN	NaN	NaN	23.1901	22.8857	23.0042	NaN	NaN	22.5	24.2168	22.2763	22.9107	22.7967	20.5142	23.021							3	3	2	77.7	77.7	49.1	11.162	0	66.567	327510000	78	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.2 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.1 | Symbols:  | 60S acidic ribosomal protein f
20.719	NaN	20.9846	20.1589	NaN	21.3453	21.462	21.4373	NaN	NaN	NaN	20.6682	NaN	NaN	NaN	NaN	20.831	21.8805	NaN	NaN	NaN	NaN	NaN	21.4912							3	2	2	8.5	6.8	6.8	52.175	0	4.5369	26490000	2	AT1G01300.1	AT1G01300.1	AT1G01300.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485
NaN	NaN	NaN	NaN	NaN	NaN	26.7005	26.9047	26.6005	NaN	NaN	24.7818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN							2	2	2	2.6	2.6	2.6	197.5	0	6.8759	718040000	15	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1787;AT1G01320.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1797;AT4G28080.
21.9158	NaN	21.4123	NaN	NaN	21.1166	NaN	NaN	22.2039	NaN	NaN	NaN	NaN	NaN	21.0309	NaN	NaN	NaN	NaN	NaN	21.5054	NaN	NaN	21.5765							2	2	2	17.3	17.3	17.3	17.458	0	5.1011	32137000	7	AT1G02140.1	AT1G02140.1	"AT1G02140.1 | Symbols: MEE63, MAGO, HAP1 | mago nashi family protein | chr1:403467-404401 REVERSE LENGTH=150"
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.2687	22.4131	21.8548	NaN	NaN	NaN	22.583	NaN	21.8535	NaN	NaN	NaN							3	3	3	10.7	10.7	10.7	59.882	0	7.7901	30871000	4	AT1G02150.1	AT1G02150.1	AT1G02150.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:408779-410433 FORWARD LENGTH=524
22.0268	21.3382	21.3361	NaN	NaN	21.1268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.4875	21.2412	NaN	NaN	NaN	NaN	NaN	21.0594	21.9518	NaN	NaN							2	2	2	5.8	5.8	5.8	40.033	0	4.0231	28539000	7	AT1G02305.1	AT1G02305.1	AT1G02305.1 | Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362
NaN	20.7325	23.592	NaN	20.8922	20.788	NaN	NaN	22.0036	NaN	NaN	NaN	21.9385	NaN	22.9881	NaN	NaN	NaN	21.8877	NaN	22.1424	NaN	NaN	NaN							3	3	3	15.1	15.1	15.1	25.037	0	6.7103	75653000	10	AT1G02475.1	AT1G02475.1	AT1G02475.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:514110-515331 REVERSE LENGTH=219
22.2197	21.7314	23.156	20.5216	21.3543	NaN	22.3828	23.5333	NaN	22.3336	NaN	NaN	22.2591	NaN	22.5079	22.1845	NaN	NaN	22.9715	NaN	NaN	NaN	NaN	NaN							9	2	2	31.6	8.9	8.9	43.158	0	14.195	102270000	14	AT1G02500.2;AT1G02500.1	AT1G02500.2;AT1G02500.1	"AT1G02500.2 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393;AT1G02500.1 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393"
